character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Eye of the Storm win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Deepwind Gorge win_rate,Alterac Valley played,Eye of the Storm played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Battle for Wintergrasp played,Deepwind Gorge played,Alterac Valley won,Eye of the Storm won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Battle for Wintergrasp won,Deepwind Gorge won,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Strand of the Ancients win_rate,Isle of Conquest win_rate,Classic Warsong Gulch played,Classic Arathi Basin played,Strand of the Ancients played,Isle of Conquest played,Classic Warsong Gulch won,Classic Arathi Basin won,Strand of the Ancients won,Isle of Conquest won,Rated Eye of the Storm win_rate,Ashran win_rate,Arathi Basin Winter win_rate,Rated Eye of the Storm played,Ashran played,Arathi Basin Winter played,Rated Eye of the Storm won,Ashran won,Arathi Basin Winter won,Arathi Basin Comp Stomp win_rate,Korrak's Revenge win_rate,Arathi Basin Comp Stomp played,Korrak's Revenge played,Arathi Basin Comp Stomp won,Korrak's Revenge won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won
164761441,Empathy,amanthul,8.0,3184.0,50.0,50.0,29.0,50.0,50.0,40.0,,67.0,71.0,70.0,43.0,43.0,4.0,6.0,7.0,6.0,12.0,5.0,,6.0,7.0,10.0,7.0,7.0,2.0,3.0,2.0,3.0,6.0,2.0,,4.0,5.0,7.0,3.0,3.0,,,,60.0,,,,5.0,,,,3.0,,50.0,,,2.0,,,1.0,,,,,,,,,,,,,
128957568,Aeth,argent-dawn,9.0,700.0,100.0,40.0,100.0,0.0,0.0,0.0,,50.0,50.0,0.0,,100.0,1.0,5.0,1.0,2.0,1.0,1.0,,2.0,2.0,2.0,,1.0,1.0,2.0,1.0,0.0,0.0,0.0,,1.0,1.0,0.0,,1.0,0.0,,,0.0,1.0,,,1.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
91417893,Cynnos,illidan,9.0,9064.0,33.0,39.0,33.0,32.0,33.0,33.0,50.0,,,33.0,,100.0,15.0,46.0,6.0,19.0,18.0,21.0,4.0,,,3.0,,1.0,5.0,18.0,2.0,6.0,6.0,7.0,2.0,,,1.0,,1.0,36.0,48.0,42.0,20.0,25.0,27.0,33.0,25.0,9.0,13.0,14.0,5.0,,,,,,,,,,,,,,,,,,,,,
130524663,Luisha,burning-legion,35.0,1266.0,20.0,,50.0,,100.0,0.0,,,,50.0,100.0,50.0,5.0,,2.0,,1.0,2.0,,,,2.0,2.0,2.0,1.0,,1.0,,1.0,0.0,,,,1.0,2.0,1.0,,,,40.0,,,,5.0,,,,2.0,,100.0,,,1.0,,,1.0,,,,,,,,,,,,,
12270670,Cherubim,drakthul,8.0,2475.0,29.0,50.0,50.0,67.0,100.0,100.0,100.0,,,0.0,,,7.0,4.0,2.0,3.0,1.0,1.0,1.0,,,1.0,,,2.0,2.0,1.0,2.0,1.0,1.0,1.0,,,0.0,,,50.0,0.0,0.0,58.0,4.0,3.0,2.0,12.0,2.0,0.0,0.0,7.0,,33.0,,,3.0,,,1.0,,,0.0,,1.0,,0.0,,,,,,
165296752,Дайпак,howling-fjord,90.0,4856.0,56.0,80.0,43.0,75.0,0.0,42.0,,67.0,40.0,100.0,43.0,50.0,9.0,5.0,7.0,4.0,2.0,12.0,,3.0,5.0,2.0,7.0,8.0,5.0,4.0,3.0,3.0,0.0,5.0,,2.0,2.0,2.0,3.0,4.0,,,,50.0,,,,6.0,,,,3.0,,88.0,,,8.0,,,7.0,,,,,,,,,,,,,
114254685,Dëlawiëne,hyjal,4.0,579.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,50.0,,,8.0,2.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
168302250,Ønizuka,outland,17.0,1205.0,,,100.0,75.0,33.0,,,50.0,33.0,25.0,0.0,100.0,,,1.0,4.0,3.0,,,2.0,3.0,4.0,1.0,1.0,,,1.0,3.0,1.0,,,1.0,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110898468,Alphashine,twisting-nether,12.0,1657.0,25.0,71.0,,100.0,,100.0,,,0.0,,,,4.0,7.0,,1.0,,1.0,,,1.0,,,,1.0,5.0,,1.0,,1.0,,,0.0,,,,50.0,33.0,,50.0,6.0,6.0,,2.0,3.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,
145893282,Geezah,tarren-mill,5.0,927.0,75.0,14.0,,100.0,100.0,,,,,,,,4.0,7.0,,1.0,1.0,,,,,,,,3.0,1.0,,1.0,1.0,,,,,,,,100.0,80.0,0.0,,2.0,5.0,1.0,,2.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,
193746349,Keppa,hyjal,17.0,911.0,,67.0,67.0,67.0,29.0,0.0,,0.0,75.0,0.0,,40.0,,3.0,3.0,6.0,7.0,5.0,,3.0,4.0,3.0,,5.0,,2.0,2.0,4.0,2.0,0.0,,0.0,3.0,0.0,,2.0,,,,100.0,,,,1.0,,,,1.0,100.0,,,3.0,,,3.0,,,,,,,,,,,,,,
167348496,Shosgala,archimonde,6.0,420.0,,100.0,0.0,100.0,0.0,,,0.0,,,,,,2.0,1.0,1.0,1.0,,,1.0,,,,,,2.0,0.0,1.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108269690,Pattymeuh,arakarahm,31.0,42754.0,50.0,50.0,43.0,32.0,52.0,39.0,78.0,43.0,,,100.0,100.0,72.0,108.0,69.0,63.0,81.0,83.0,37.0,7.0,,,1.0,1.0,36.0,54.0,30.0,20.0,42.0,32.0,29.0,3.0,,,1.0,1.0,48.0,50.0,49.0,61.0,97.0,141.0,97.0,31.0,47.0,71.0,48.0,19.0,,,,,,,,,,,100.0,,1.0,,1.0,,,,,,
186484369,Силугор,soulflayer,34.0,7999.0,71.0,56.0,69.0,62.0,75.0,70.0,67.0,88.0,70.0,38.0,100.0,33.0,7.0,27.0,13.0,21.0,20.0,20.0,15.0,8.0,10.0,8.0,5.0,3.0,5.0,15.0,9.0,13.0,15.0,14.0,10.0,7.0,7.0,3.0,5.0,1.0,0.0,75.0,,33.0,1.0,4.0,,6.0,0.0,3.0,,2.0,,50.0,100.0,,4.0,1.0,,2.0,1.0,100.0,100.0,4.0,1.0,4.0,1.0,,,,,,
119359385,Jadeci,burning-legion,4.0,2868.0,38.0,33.0,67.0,0.0,20.0,50.0,67.0,0.0,,0.0,0.0,,8.0,3.0,3.0,1.0,5.0,2.0,3.0,1.0,,1.0,1.0,,3.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,,0.0,0.0,,50.0,50.0,100.0,14.0,2.0,2.0,2.0,7.0,1.0,1.0,2.0,1.0,,,,,,,,,,,100.0,,1.0,,1.0,,,,,,
96164206,Elanie,zenedar,78.0,26523.0,49.0,48.0,59.0,46.0,59.0,62.0,44.0,,,,,,70.0,94.0,54.0,28.0,58.0,26.0,16.0,,,,,,34.0,45.0,32.0,13.0,34.0,16.0,7.0,,,,,,53.0,39.0,56.0,38.0,87.0,75.0,93.0,52.0,46.0,29.0,52.0,20.0,,,,,,,,,,,,,,,,,,,,,
175971933,Fearpal,archimonde,91.0,1169.0,50.0,0.0,,12.0,,50.0,,,,,,,2.0,1.0,,8.0,,2.0,,,,,,,1.0,0.0,,1.0,,1.0,,,,,,,50.0,50.0,40.0,,2.0,2.0,5.0,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,
