character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Rated Eye of the Storm win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Arathi Basin Comp Stomp win_rate,Korrak's Revenge win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Strand of the Ancients played,Isle of Conquest played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Rated Eye of the Storm played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Battle for Wintergrasp played,Arathi Basin Comp Stomp played,Korrak's Revenge played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Strand of the Ancients won,Isle of Conquest won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Rated Eye of the Storm won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Battle for Wintergrasp won,Arathi Basin Comp Stomp won,Korrak's Revenge won,Ashran win_rate,Deepwind Gorge win_rate,Ashran played,Deepwind Gorge played,Ashran won,Deepwind Gorge won,Arathi Basin Winter win_rate,Cooking: Impossible win_rate,Arathi Basin Winter played,Cooking: Impossible played,Arathi Basin Winter won,Cooking: Impossible won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won
202618704,Мухашмёль,soulflayer,21.0,1442.0,33.0,,,100.0,,0.0,50.0,100.0,67.0,,100.0,,0.0,100.0,50.0,100.0,,,3.0,,,2.0,,3.0,4.0,2.0,3.0,,2.0,,1.0,1.0,2.0,1.0,,,1.0,,,2.0,,0.0,2.0,2.0,2.0,,2.0,,0.0,1.0,1.0,1.0,,,100.0,,2.0,,2.0,,,,,,,,,,
131403913,Weinbaron,malfurion,11.0,3041.0,75.0,,,43.0,,50.0,57.0,33.0,60.0,,44.0,,40.0,31.0,50.0,,,0.0,4.0,,,7.0,,2.0,14.0,12.0,10.0,,9.0,,10.0,13.0,2.0,,,2.0,3.0,,,3.0,,1.0,8.0,4.0,6.0,,4.0,,4.0,4.0,1.0,,,0.0,,40.0,,10.0,,4.0,,,,,,,,,
195191997,Marxcia,kazzak,1.0,2091.0,50.0,100.0,80.0,75.0,0.0,0.0,,,0.0,,,,100.0,,,,,,4.0,2.0,5.0,4.0,1.0,2.0,,,1.0,,,,1.0,,,,,,2.0,2.0,4.0,3.0,0.0,0.0,,,0.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
155822731,Haemdhall,hyjal,1.0,311.0,,100.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20876211,Дзедун,ashenvale,21.0,17971.0,55.0,60.0,48.0,43.0,59.0,47.0,80.0,60.0,60.0,,25.0,67.0,100.0,0.0,,,,,11.0,96.0,87.0,97.0,64.0,15.0,5.0,10.0,5.0,,8.0,6.0,2.0,1.0,,,,,6.0,58.0,42.0,42.0,38.0,7.0,4.0,6.0,3.0,,2.0,4.0,2.0,0.0,,,,,,,,,,,100.0,,1.0,,1.0,,,,
165899124,Эствинд,gordunni,30.0,828.0,50.0,0.0,,,,,33.0,33.0,0.0,,,50.0,,,0.0,,,,2.0,2.0,,,,,3.0,3.0,1.0,,,2.0,,,1.0,,,,1.0,0.0,,,,,1.0,1.0,0.0,,,1.0,,,0.0,,,,0.0,100.0,1.0,1.0,0.0,1.0,,,,,,,,,
175430797,Алнуэль,gordunni,8.0,309.0,,,100.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165427440,Lithî,azshara,6.0,114.0,,,,,,,,,100.0,,,,,0.0,100.0,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,0.0,1.0,,,,100.0,,1.0,,1.0,,,,,,,,,,
170921071,Дитристаг,gordunni,76.0,58369.0,62.0,51.0,49.0,56.0,45.0,74.0,52.0,59.0,49.0,,48.0,55.0,73.0,54.0,71.0,26.0,,12.0,69.0,71.0,49.0,45.0,42.0,27.0,52.0,71.0,49.0,,62.0,29.0,11.0,63.0,17.0,19.0,,8.0,43.0,36.0,24.0,25.0,19.0,20.0,27.0,42.0,24.0,,30.0,16.0,8.0,34.0,12.0,5.0,,1.0,50.0,75.0,16.0,4.0,8.0,3.0,100.0,,1.0,,1.0,,,,
119759244,Caelric,doomhammer,11.0,1243.0,100.0,,100.0,,,,67.0,50.0,50.0,,100.0,67.0,25.0,80.0,0.0,100.0,,,1.0,,1.0,,,,3.0,4.0,2.0,,1.0,3.0,4.0,5.0,1.0,1.0,,,1.0,,1.0,,,,2.0,2.0,1.0,,1.0,2.0,1.0,4.0,0.0,1.0,,,,,,,,,,,,,,,,,
