character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Isle of Conquest win_rate,Temple of Kotmogu win_rate,Ashran win_rate,Seething Shore win_rate,Battle for Wintergrasp win_rate,Alterac Valley played,Isle of Conquest played,Temple of Kotmogu played,Ashran played,Seething Shore played,Battle for Wintergrasp played,Alterac Valley won,Isle of Conquest won,Temple of Kotmogu won,Ashran won,Seething Shore won,Battle for Wintergrasp won,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Deepwind Gorge (Legacy) win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Deepwind Gorge win_rate,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Deepwind Gorge (Legacy) played,Warsong Gulch played,Arathi Basin played,Deepwind Gorge played,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Deepwind Gorge (Legacy) won,Warsong Gulch won,Arathi Basin won,Deepwind Gorge won,Korrak's Revenge win_rate,Korrak's Revenge played,Korrak's Revenge won,Strand of the Ancients win_rate,Strand of the Ancients played,Strand of the Ancients won,Arathi Basin Comp Stomp win_rate,Arathi Basin Comp Stomp played,Arathi Basin Comp Stomp won,Rated Eye of the Storm win_rate,Arathi Basin Winter win_rate,Rated Eye of the Storm played,Arathi Basin Winter played,Rated Eye of the Storm won,Arathi Basin Winter won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won
101389528,Gemüse,alleria,70.0,8341.0,68.0,58.0,35.0,,,,19.0,12.0,37.0,,,,13.0,7.0,13.0,,,,47.0,33.0,52.0,36.0,19.0,53.0,80.0,,,,59.0,27.0,31.0,22.0,21.0,15.0,15.0,,,,28.0,9.0,16.0,8.0,4.0,8.0,12.0,,,,,,,53.0,19.0,10.0,,,,,,,,,,,,,,,
127715506,Visenya,archimonde,8.0,5433.0,85.0,78.0,62.0,,,50.0,13.0,9.0,16.0,,,2.0,11.0,7.0,10.0,,,1.0,88.0,62.0,55.0,69.0,20.0,38.0,88.0,100.0,0.0,,8.0,13.0,11.0,16.0,15.0,16.0,8.0,1.0,1.0,,7.0,8.0,6.0,11.0,3.0,6.0,7.0,1.0,0.0,,,,,44.0,9.0,4.0,,,,,,,,,,,,,,,
93879153,Pappasmúrf,stormrage,13.0,541.0,,,50.0,,0.0,,,,2.0,,1.0,,,,1.0,,0.0,,,,100.0,67.0,50.0,,,,33.0,50.0,,,1.0,3.0,2.0,,,,3.0,2.0,,,1.0,2.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
164437412,Kixer,alakir,19.0,9030.0,24.0,80.0,33.0,100.0,50.0,0.0,25.0,5.0,3.0,1.0,4.0,1.0,6.0,4.0,1.0,1.0,2.0,0.0,62.0,59.0,37.0,40.0,0.0,42.0,33.0,0.0,,,32.0,29.0,57.0,10.0,2.0,12.0,3.0,1.0,,,20.0,17.0,21.0,4.0,0.0,5.0,1.0,0.0,,,,,,40.0,53.0,21.0,,,,,,,,,,,,,,,
187803796,Индианаджонс,blackscar,56.0,760.0,,,25.0,,100.0,,,,4.0,,2.0,,,,1.0,,2.0,,,,,33.0,25.0,75.0,50.0,60.0,67.0,,,,,3.0,4.0,4.0,2.0,5.0,3.0,,,,,1.0,1.0,3.0,1.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,
113653973,Isao,mazrigos,1.0,7648.0,45.0,29.0,,,,,69.0,7.0,,,,,31.0,2.0,,,,,33.0,67.0,36.0,0.0,,0.0,,,,,12.0,15.0,14.0,1.0,,4.0,,,,,4.0,10.0,5.0,0.0,,0.0,,,,,,,,55.0,11.0,6.0,,,,,,,,,,,,,,,
157902409,Hoppeline,ravencrest,2.0,627.0,,,0.0,100.0,100.0,100.0,,,1.0,1.0,1.0,1.0,,,0.0,1.0,1.0,1.0,,,50.0,0.0,,,,100.0,0.0,33.0,,,2.0,1.0,,,,1.0,1.0,3.0,,,1.0,0.0,,,,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,
72901396,Elión,dun-modr,151.0,13563.0,74.0,73.0,32.0,50.0,100.0,57.0,78.0,59.0,19.0,4.0,8.0,7.0,58.0,43.0,6.0,2.0,8.0,4.0,48.0,35.0,46.0,36.0,44.0,42.0,47.0,44.0,25.0,100.0,29.0,20.0,24.0,28.0,25.0,24.0,32.0,16.0,4.0,4.0,14.0,7.0,11.0,10.0,11.0,10.0,15.0,7.0,1.0,4.0,0.0,1.0,0.0,50.0,4.0,2.0,100.0,6.0,6.0,,100.0,,1.0,,1.0,,,,,,
104040115,Smoxycow,kazzak,7.0,572.0,,,,,,,,,,,,,,,,,,,45.0,,100.0,,,,,,,,11.0,,1.0,,,,,,,,5.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173510030,Hobbles,terokkar,7.0,494.0,100.0,33.0,,,,,1.0,3.0,,,,,1.0,1.0,,,,,,,100.0,50.0,0.0,67.0,,,,,,,2.0,2.0,2.0,3.0,,,,,,,2.0,1.0,0.0,2.0,,,,,,,,100.0,1.0,1.0,,,,,,,,,,,,,,,
