character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Strand of the Ancients played,Isle of Conquest played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Strand of the Ancients won,Isle of Conquest won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Rated Eye of the Storm win_rate,Ashran win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Arathi Basin Comp Stomp win_rate,Deepwind Gorge win_rate,Rated Eye of the Storm played,Ashran played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Battle for Wintergrasp played,Arathi Basin Comp Stomp played,Deepwind Gorge played,Rated Eye of the Storm won,Ashran won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Battle for Wintergrasp won,Arathi Basin Comp Stomp won,Deepwind Gorge won,Arathi Basin Winter win_rate,Arathi Basin Winter played,Arathi Basin Winter won,Korrak's Revenge win_rate,Korrak's Revenge played,Korrak's Revenge won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won
118609313,Wipepower,ravencrest,26.0,2890.0,78.0,,,100.0,,17.0,50.0,100.0,100.0,100.0,,9.0,,,4.0,,6.0,2.0,1.0,1.0,2.0,,7.0,,,4.0,,1.0,1.0,1.0,1.0,2.0,,100.0,0.0,86.0,33.0,75.0,33.0,,0.0,1.0,1.0,7.0,3.0,4.0,6.0,,1.0,1.0,0.0,6.0,1.0,3.0,2.0,,0.0,,,,0.0,1.0,0.0,,,,,,
28405849,Yukine,drakthul,87.0,26932.0,49.0,67.0,56.0,62.0,60.0,65.0,58.0,83.0,36.0,44.0,75.0,101.0,97.0,81.0,63.0,52.0,49.0,26.0,12.0,28.0,9.0,4.0,49.0,65.0,45.0,39.0,31.0,32.0,15.0,10.0,10.0,4.0,3.0,,100.0,60.0,100.0,40.0,40.0,100.0,,,1.0,10.0,4.0,5.0,5.0,43.0,,,1.0,6.0,4.0,2.0,2.0,43.0,,100.0,2.0,2.0,33.0,6.0,2.0,,,,,,
88842309,Icra,eredar,11.0,1906.0,,33.0,67.0,40.0,80.0,0.0,75.0,67.0,40.0,40.0,100.0,,3.0,3.0,5.0,5.0,1.0,4.0,3.0,5.0,5.0,2.0,,1.0,2.0,2.0,4.0,0.0,3.0,2.0,2.0,2.0,2.0,,,50.0,100.0,50.0,,,50.0,,,2.0,3.0,2.0,,,2.0,,,1.0,3.0,1.0,,,1.0,,,,,,,,,,,,
117319660,Zýlh,ysondre,113.0,2498.0,67.0,0.0,50.0,0.0,,,33.0,0.0,40.0,0.0,33.0,3.0,1.0,2.0,2.0,,,6.0,3.0,5.0,2.0,6.0,2.0,0.0,1.0,0.0,,,2.0,0.0,2.0,0.0,2.0,,,,,,,100.0,,,,,,,,3.0,,,,,,,,3.0,,,,,25.0,4.0,1.0,,,,,,
175923996,Эсэйас,gordunni,64.0,28928.0,52.0,55.0,60.0,67.0,57.0,64.0,51.0,54.0,55.0,58.0,56.0,23.0,130.0,85.0,39.0,21.0,22.0,45.0,61.0,51.0,62.0,25.0,12.0,71.0,51.0,26.0,12.0,14.0,23.0,33.0,28.0,36.0,14.0,,0.0,200.0,73.0,50.0,20.0,100.0,20.0,,1.0,4.0,11.0,6.0,5.0,3.0,5.0,,0.0,8.0,8.0,3.0,1.0,3.0,1.0,67.0,3.0,2.0,,,,,,,,,
84594191,Zeab,ysondre,39.0,8819.0,31.0,59.0,69.0,59.0,52.0,38.0,71.0,72.0,71.0,57.0,71.0,16.0,27.0,16.0,27.0,27.0,8.0,21.0,18.0,24.0,14.0,14.0,5.0,16.0,11.0,16.0,14.0,3.0,15.0,13.0,17.0,8.0,10.0,,,50.0,50.0,100.0,,,33.0,,,4.0,2.0,2.0,,,3.0,,,2.0,1.0,2.0,,,1.0,,,,,,,,,,,,
183205650,Zuriion,hyjal,21.0,299.0,,,,,,,50.0,25.0,,,,,,,,,,2.0,4.0,,,,,,,,,,1.0,1.0,,,,,,,,100.0,,,100.0,,,,,1.0,,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,
126013964,Airaishi,drakthul,28.0,196.0,100.0,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85818897,Tizzuidal,dun-modr,7.0,5460.0,86.0,46.0,32.0,44.0,33.0,80.0,32.0,42.0,45.0,53.0,23.0,7.0,13.0,22.0,9.0,12.0,5.0,19.0,12.0,11.0,15.0,13.0,6.0,6.0,7.0,4.0,4.0,4.0,6.0,5.0,5.0,8.0,3.0,,0.0,,,,,,,,1.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
87892285,Keevâ,draenor,5.0,331.0,,0.0,,,,,,50.0,0.0,33.0,100.0,,1.0,,,,,,2.0,2.0,3.0,1.0,,0.0,,,,,,1.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149043298,Shieldshield,kazzak,5.0,764.0,0.0,,,100.0,,,100.0,75.0,100.0,100.0,,2.0,,,1.0,,,1.0,4.0,1.0,1.0,,0.0,,,1.0,,,1.0,3.0,1.0,1.0,,,0.0,75.0,100.0,50.0,,,100.0,,1.0,4.0,1.0,2.0,,,2.0,,0.0,3.0,1.0,1.0,,,2.0,,,,,,,,,,,,
83696336,Palast,nemesis,5.0,290.0,,,0.0,,,,50.0,0.0,0.0,100.0,,,,1.0,,,,2.0,1.0,1.0,1.0,,,,0.0,,,,1.0,0.0,0.0,1.0,,,,,100.0,,,,0.0,,,,1.0,,,,1.0,,,,1.0,,,,0.0,,,,,,,,,,,,
193519595,Vitpilen,silvermoon,6.0,1690.0,100.0,,,100.0,,0.0,0.0,100.0,100.0,,,1.0,,,1.0,,1.0,3.0,1.0,4.0,,,1.0,,,1.0,,0.0,0.0,1.0,4.0,,,,50.0,50.0,33.0,50.0,0.0,,67.0,,2.0,2.0,3.0,2.0,5.0,,3.0,,1.0,1.0,1.0,1.0,0.0,,2.0,50.0,4.0,2.0,,,,,,,,,
180191286,Альтошка,gordunni,17.0,3076.0,75.0,33.0,,67.0,,0.0,25.0,43.0,67.0,25.0,0.0,4.0,6.0,,3.0,,1.0,4.0,7.0,6.0,4.0,1.0,3.0,2.0,,2.0,,0.0,1.0,3.0,4.0,1.0,0.0,,100.0,71.0,100.0,0.0,50.0,,33.0,,2.0,7.0,1.0,2.0,2.0,,3.0,,2.0,5.0,1.0,0.0,1.0,,1.0,,,,,,,,,,,,
