character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Ashran win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Deepwind Gorge win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Strand of the Ancients played,Isle of Conquest played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Ashran played,Warsong Gulch played,Arathi Basin played,Deepwind Gorge played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Strand of the Ancients won,Isle of Conquest won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Ashran won,Warsong Gulch won,Arathi Basin won,Deepwind Gorge won,Arathi Basin Winter win_rate,Seething Shore win_rate,Battle for Wintergrasp win_rate,Arathi Basin Comp Stomp win_rate,Korrak's Revenge win_rate,Arathi Basin Winter played,Seething Shore played,Battle for Wintergrasp played,Arathi Basin Comp Stomp played,Korrak's Revenge played,Arathi Basin Winter won,Seething Shore won,Battle for Wintergrasp won,Arathi Basin Comp Stomp won,Korrak's Revenge won,Rated Eye of the Storm win_rate,Rated Eye of the Storm played,Rated Eye of the Storm won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won
157912409,Malký,ysondre,48.0,2920.0,0.0,,0.0,64.0,,,29.0,43.0,57.0,50.0,67.0,,30.0,43.0,,1.0,,1.0,11.0,,,7.0,7.0,7.0,8.0,3.0,,10.0,7.0,,0.0,,0.0,7.0,,,2.0,3.0,4.0,4.0,2.0,,3.0,3.0,,,67.0,,,,,3.0,,,,,2.0,,,,,,,,,
77871331,Valefort,nemesis,24.0,11759.0,43.0,48.0,59.0,60.0,39.0,55.0,,,,,,,,0.0,0.0,21.0,61.0,32.0,25.0,28.0,20.0,,,,,,,,1.0,1.0,9.0,29.0,19.0,15.0,11.0,11.0,,,,,,,,0.0,0.0,,0.0,,,,,1.0,,,,,0.0,,,,1500.0,1.0,15.0,,,
145091375,Jubileus,twisting-nether,68.0,8697.0,59.0,72.0,80.0,75.0,36.0,64.0,50.0,38.0,29.0,57.0,75.0,,50.0,0.0,50.0,17.0,18.0,5.0,8.0,11.0,11.0,4.0,8.0,7.0,14.0,4.0,,2.0,1.0,2.0,10.0,13.0,4.0,6.0,4.0,7.0,2.0,3.0,2.0,8.0,3.0,,1.0,0.0,1.0,,75.0,69.0,,100.0,,4.0,13.0,,3.0,,3.0,9.0,,3.0,,,,,,
156747308,Vaalthier,zuljin,13.0,3869.0,50.0,0.0,100.0,25.0,,44.0,67.0,100.0,75.0,100.0,,,67.0,75.0,75.0,6.0,1.0,1.0,4.0,,9.0,3.0,5.0,4.0,3.0,,,3.0,4.0,4.0,3.0,0.0,1.0,1.0,,4.0,2.0,5.0,3.0,3.0,,,2.0,3.0,3.0,,75.0,50.0,,,,4.0,6.0,,,,3.0,3.0,,,,,,,,
152596816,Medwid,chamber-of-aspects,4.0,848.0,,30.0,100.0,,,0.0,,,,,,,,,,,10.0,4.0,,,1.0,,,,,,,,,,,3.0,4.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127645662,Krionte,nemesis,18.0,14735.0,41.0,53.0,54.0,56.0,46.0,46.0,50.0,60.0,80.0,50.0,56.0,100.0,,0.0,0.0,70.0,43.0,39.0,18.0,13.0,13.0,8.0,10.0,5.0,14.0,9.0,1.0,,2.0,1.0,29.0,23.0,21.0,10.0,6.0,6.0,4.0,6.0,4.0,7.0,5.0,1.0,,0.0,0.0,,17.0,,,71.0,,6.0,,,7.0,,1.0,,,5.0,400.0,2.0,8.0,,,
113803548,Galdír,twisting-nether,90.0,31558.0,50.0,73.0,57.0,49.0,43.0,58.0,79.0,81.0,52.0,52.0,68.0,,88.0,40.0,50.0,38.0,30.0,14.0,45.0,21.0,33.0,24.0,16.0,23.0,23.0,19.0,,8.0,10.0,2.0,19.0,22.0,8.0,22.0,9.0,19.0,19.0,13.0,12.0,12.0,13.0,,7.0,4.0,1.0,100.0,27.0,64.0,100.0,,1.0,11.0,11.0,2.0,,1.0,3.0,7.0,2.0,,,,,,,
185322365,Aertine,hyjal,38.0,46849.0,59.0,69.0,71.0,68.0,50.0,56.0,65.0,57.0,60.0,57.0,44.0,33.0,68.0,38.0,50.0,95.0,89.0,89.0,117.0,58.0,78.0,80.0,53.0,60.0,40.0,27.0,3.0,31.0,21.0,10.0,56.0,61.0,63.0,80.0,29.0,44.0,52.0,30.0,36.0,23.0,12.0,1.0,21.0,8.0,5.0,83.0,56.0,69.0,100.0,100.0,6.0,25.0,36.0,11.0,1.0,5.0,14.0,25.0,11.0,1.0,,,,,,
164180945,Lüpone,tarren-mill,24.0,2692.0,67.0,50.0,,50.0,0.0,0.0,0.0,80.0,0.0,50.0,40.0,,,,,3.0,4.0,,2.0,1.0,2.0,3.0,5.0,3.0,2.0,5.0,,,,,2.0,2.0,,1.0,0.0,0.0,0.0,4.0,0.0,1.0,2.0,,,,,,0.0,50.0,,36.0,,2.0,2.0,,11.0,,0.0,1.0,,4.0,,,,,,
183918139,Judgemedaddy,kazzak,28.0,12002.0,41.0,43.0,48.0,54.0,20.0,43.0,50.0,100.0,42.0,70.0,,100.0,78.0,18.0,88.0,17.0,51.0,50.0,13.0,10.0,28.0,8.0,3.0,19.0,10.0,,1.0,9.0,11.0,8.0,7.0,22.0,24.0,7.0,2.0,12.0,4.0,3.0,8.0,7.0,,1.0,7.0,2.0,7.0,,67.0,100.0,,100.0,,6.0,1.0,,4.0,,4.0,1.0,,4.0,100.0,2.0,2.0,,,
