character.id,character.name,character.realm.slug,honor_level,honorable_kills,Classic Arathi Basin win_rate,Classic Arathi Basin played,Classic Arathi Basin won,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,Ashran win_rate,Seething Shore win_rate,Battle for Wintergrasp win_rate,Alterac Valley played,Classic Warsong Gulch played,Eye of the Storm played,Strand of the Ancients played,Isle of Conquest played,Twin Peaks played,Silvershard Mines played,Ashran played,Seething Shore played,Battle for Wintergrasp played,Alterac Valley won,Classic Warsong Gulch won,Eye of the Storm won,Strand of the Ancients won,Isle of Conquest won,Twin Peaks won,Silvershard Mines won,Ashran won,Seething Shore won,Battle for Wintergrasp won,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Arathi Basin Winter win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,The Battle for Gilneas played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Arathi Basin Winter played,Warsong Gulch played,Arathi Basin played,The Battle for Gilneas won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Arathi Basin Winter won,Warsong Gulch won,Arathi Basin won,Deepwind Gorge win_rate,Deepwind Gorge played,Deepwind Gorge won,Korrak's Revenge win_rate,Korrak's Revenge played,Korrak's Revenge won,Arathi Basin Comp Stomp win_rate,Arathi Basin Comp Stomp played,Arathi Basin Comp Stomp won,Rated Eye of the Storm win_rate,Rated Eye of the Storm played,Rated Eye of the Storm won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won
83486803,Alehn,antonidas,41.0,22657.0,37.0,119.0,44.0,48.0,43.0,31.0,40.0,54.0,50.0,20.0,0.0,100.0,,64.0,104.0,107.0,100.0,61.0,30.0,5.0,1.0,1.0,,31.0,45.0,33.0,40.0,33.0,15.0,1.0,0.0,1.0,,52.0,0.0,,,,50.0,44.0,2.0,,,,2.0,23.0,0.0,,,,1.0,,,,0.0,7.0,0.0,,,,,,,,,,,,
88245594,Gwaelion,antonidas,9.0,3932.0,38.0,8.0,3.0,0.0,29.0,55.0,100.0,0.0,62.0,71.0,,100.0,50.0,4.0,7.0,11.0,10.0,2.0,8.0,14.0,,1.0,2.0,0.0,2.0,6.0,10.0,0.0,5.0,10.0,,1.0,1.0,64.0,62.0,56.0,,,,11.0,8.0,9.0,,,,7.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,
160664798,Paldinia,norgannon,26.0,619.0,,,,100.0,,50.0,,,0.0,0.0,,67.0,,1.0,,2.0,,,1.0,2.0,,3.0,,1.0,,1.0,,,0.0,0.0,,2.0,,0.0,50.0,,,50.0,50.0,1.0,2.0,,,2.0,2.0,0.0,1.0,,,1.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,
154429221,Rein,antonidas,108.0,955.0,,,,50.0,,0.0,,,75.0,40.0,0.0,50.0,100.0,2.0,,2.0,,,4.0,5.0,1.0,4.0,1.0,1.0,,0.0,,,3.0,2.0,0.0,2.0,1.0,75.0,75.0,,,25.0,60.0,4.0,4.0,,,4.0,5.0,3.0,3.0,,,1.0,3.0,33.0,3.0,1.0,,,,,,,75.0,4.0,3.0,,,,,,
150415130,Feyreena,der-rat-von-dalaran,73.0,5334.0,,,,50.0,,67.0,,33.0,62.0,33.0,60.0,65.0,56.0,4.0,,3.0,,12.0,24.0,18.0,5.0,23.0,9.0,2.0,,2.0,,4.0,15.0,6.0,3.0,15.0,5.0,35.0,47.0,,,54.0,43.0,20.0,17.0,,,13.0,14.0,7.0,8.0,,,7.0,6.0,50.0,12.0,6.0,,,,,,,75.0,4.0,3.0,,,,,,
174317770,Rhokxtar,die-aldor,13.0,765.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,4.0,3.0,,,,,,,,,,,,
199604106,Инейфрейнеиф,gordunni,52.0,554.0,,,,,,,,,,,,0.0,0.0,,,,,,,,,1.0,1.0,,,,,,,,,0.0,0.0,50.0,0.0,,,0.0,50.0,2.0,3.0,,,1.0,2.0,1.0,0.0,,,0.0,1.0,,,,,,,100.0,6.0,6.0,,,,,,,,,
166374426,Caydin,die-aldor,14.0,3844.0,40.0,5.0,2.0,33.0,10.0,50.0,,25.0,69.0,50.0,100.0,25.0,100.0,3.0,10.0,4.0,,4.0,13.0,12.0,2.0,4.0,2.0,1.0,1.0,2.0,,1.0,9.0,6.0,2.0,1.0,2.0,50.0,53.0,50.0,,0.0,67.0,12.0,15.0,2.0,,6.0,3.0,6.0,8.0,1.0,,0.0,2.0,0.0,4.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,
245226348,Розагвоздика,gordunni,24.0,7819.0,,,,54.0,,64.0,,50.0,47.0,47.0,22.0,58.0,45.0,13.0,,11.0,,8.0,15.0,15.0,9.0,24.0,11.0,7.0,,7.0,,4.0,7.0,7.0,2.0,14.0,5.0,38.0,63.0,,100.0,60.0,69.0,21.0,19.0,,1.0,10.0,16.0,8.0,12.0,,1.0,6.0,11.0,53.0,15.0,8.0,,,,,,,0.0,2.0,0.0,,,,,,
150493566,Maírila,der-rat-von-dalaran,43.0,16757.0,58.0,48.0,28.0,56.0,36.0,45.0,39.0,59.0,50.0,45.0,20.0,14.0,41.0,50.0,55.0,20.0,28.0,39.0,38.0,60.0,5.0,7.0,22.0,28.0,20.0,9.0,11.0,23.0,19.0,27.0,1.0,1.0,9.0,49.0,38.0,50.0,,57.0,40.0,47.0,52.0,12.0,,7.0,5.0,23.0,20.0,6.0,,4.0,2.0,67.0,6.0,4.0,,,,100.0,43.0,43.0,,,,,,,,,
