character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Eye of the Storm win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Deepwind Gorge win_rate,Alterac Valley played,Eye of the Storm played,Isle of Conquest played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Battle for Wintergrasp played,Deepwind Gorge played,Alterac Valley won,Eye of the Storm won,Isle of Conquest won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Battle for Wintergrasp won,Deepwind Gorge won,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Strand of the Ancients win_rate,Korrak's Revenge win_rate,Classic Warsong Gulch played,Classic Arathi Basin played,Strand of the Ancients played,Korrak's Revenge played,Classic Warsong Gulch won,Classic Arathi Basin won,Strand of the Ancients won,Korrak's Revenge won,Arathi Basin Comp Stomp win_rate,Arathi Basin Comp Stomp played,Arathi Basin Comp Stomp won,Ashran win_rate,Ashran played,Ashran won,Rated Eye of the Storm win_rate,Rated Eye of the Storm played,Rated Eye of the Storm won,Arathi Basin Winter win_rate,Arathi Basin Winter played,Arathi Basin Winter won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won
90886310,Clue,malfurion,46.0,3869.0,40.0,,20.0,0.0,33.0,33.0,50.0,50.0,67.0,100.0,25.0,100.0,,5.0,,5.0,2.0,6.0,3.0,6.0,2.0,3.0,1.0,4.0,1.0,,2.0,,1.0,0.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,,,0.0,,,,2.0,,,,0.0,,,,,,,,,,,,,,,,,,,,
169149444,Caiqu,chamber-of-aspects,44.0,36410.0,48.0,57.0,68.0,93.0,70.0,100.0,78.0,73.0,,,,,,106.0,42.0,34.0,15.0,10.0,16.0,32.0,11.0,,,,,,51.0,24.0,23.0,14.0,7.0,16.0,25.0,8.0,,,,,,73.0,58.0,57.0,,77.0,72.0,30.0,,56.0,42.0,17.0,,,,,,,,,,,,,,,,,,,
125563348,Morzak,voljin,7.0,48.0,,,,,100.0,,,,100.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95534608,Arethias,twisting-nether,20.0,901.0,100.0,50.0,33.0,0.0,33.0,100.0,40.0,,0.0,,,0.0,100.0,2.0,4.0,3.0,1.0,3.0,2.0,5.0,,1.0,,,1.0,1.0,2.0,2.0,1.0,0.0,1.0,2.0,2.0,,0.0,,,0.0,1.0,,,,,,,,,,,,,,,,,,,100.0,1.0,1.0,,,,,,,,,
58511536,Tankerella,nazjatar,1.0,98.0,100.0,,0.0,,,,,,0.0,,,,,1.0,,1.0,,,,,,1.0,,,,,1.0,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148806161,Maldastia,argent-dawn,7.0,401.0,,75.0,,,,100.0,,,100.0,,,,100.0,,4.0,,,,1.0,,,1.0,,,,2.0,,3.0,,,,1.0,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133374663,Dangari,draenor,9.0,1567.0,71.0,50.0,67.0,100.0,100.0,40.0,67.0,,20.0,67.0,50.0,0.0,50.0,7.0,4.0,3.0,5.0,4.0,5.0,3.0,,5.0,3.0,2.0,1.0,4.0,5.0,2.0,2.0,5.0,4.0,2.0,2.0,,1.0,2.0,1.0,0.0,2.0,,,,,,,,,,,,,,,,0.0,2.0,0.0,,,,,,,,,,,,
156967572,Elmartopilon,magtheridon,9.0,4370.0,40.0,56.0,75.0,38.0,38.0,0.0,20.0,0.0,50.0,100.0,50.0,,100.0,5.0,9.0,4.0,8.0,13.0,3.0,5.0,5.0,2.0,3.0,2.0,,1.0,2.0,5.0,3.0,3.0,5.0,0.0,1.0,0.0,1.0,3.0,1.0,,1.0,57.0,38.0,33.0,,14.0,16.0,12.0,,8.0,6.0,4.0,,100.0,4.0,4.0,,,,,,,,,,,,,,,
159616064,Dagornet,antonidas,5.0,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,3.0,,,,0.0,,,,,,,,,,,,,,,,,,
181696362,Эвдан,soulflayer,12.0,2299.0,,100.0,,75.0,33.0,40.0,80.0,75.0,57.0,0.0,0.0,,75.0,,2.0,,4.0,6.0,5.0,5.0,8.0,7.0,1.0,4.0,,4.0,,2.0,,3.0,2.0,2.0,4.0,6.0,4.0,0.0,0.0,,3.0,80.0,67.0,,,5.0,3.0,,,4.0,2.0,,,,,,,,,100.0,2.0,2.0,,,,,,,,,
166735229,Ànu,die-silberne-hand,1.0,675.0,100.0,50.0,,,,,,,,,,,,2.0,4.0,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,50.0,0.0,,,2.0,2.0,,,1.0,0.0,,,,,,,,,,,,,,,,,,,
158017300,Primùs,argent-dawn,3.0,1118.0,0.0,,,,50.0,100.0,,,100.0,,,100.0,0.0,2.0,,,,2.0,1.0,,,1.0,,,3.0,1.0,0.0,,,,1.0,1.0,,,1.0,,,3.0,0.0,,,,,,,,,,,,,100.0,1.0,1.0,,,,,,,,,,,,,,,
131784289,Hochmut,das-syndikat,97.0,2361.0,,33.0,100.0,55.0,44.0,42.0,67.0,29.0,50.0,20.0,0.0,,50.0,,6.0,1.0,11.0,9.0,12.0,15.0,7.0,4.0,5.0,2.0,,2.0,,2.0,1.0,6.0,4.0,5.0,10.0,2.0,2.0,1.0,0.0,,1.0,78.0,57.0,,,9.0,7.0,,,7.0,4.0,,,,,,,,,,,,,,,,,,,,
164710510,Lábroy,aerie-peak,35.0,38459.0,64.0,47.0,69.0,43.0,65.0,70.0,43.0,,40.0,44.0,44.0,39.0,50.0,22.0,15.0,13.0,14.0,23.0,20.0,23.0,,10.0,25.0,9.0,23.0,10.0,14.0,7.0,9.0,6.0,15.0,14.0,10.0,,4.0,11.0,4.0,9.0,5.0,55.0,25.0,0.0,38.0,11.0,4.0,1.0,8.0,6.0,1.0,0.0,3.0,,,,75.0,4.0,3.0,,,,0.0,1.0,0.0,,,,57.0,7.0,4.0
89616186,Setzard,sargeras,4.0,586.0,,67.0,,0.0,50.0,100.0,,,50.0,100.0,0.0,,33.0,,3.0,,1.0,2.0,1.0,,,4.0,1.0,1.0,,3.0,,2.0,,0.0,1.0,1.0,,,2.0,1.0,0.0,,1.0,0.0,,,,2.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,
89098463,Kurtis,dalaran,4.0,16341.0,40.0,43.0,68.0,45.0,20.0,39.0,40.0,0.0,,,,,,35.0,28.0,22.0,31.0,5.0,31.0,10.0,5.0,,,,,,14.0,12.0,15.0,14.0,1.0,12.0,4.0,0.0,,,,,,30.0,19.0,40.0,100.0,30.0,31.0,25.0,1.0,9.0,6.0,10.0,1.0,,,,,,,,,,,,,,,,,,
166953513,Pontiflex,blackrock,2.0,14.0,,,,,,,,,0.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
