character.id,profile.name,profile.slug,score
172829189,Хуряк,soulflayer,762.9
64510629,Kentho,ysondre,1065.2
196911696,Omenakaarme,silvermoon,776.5
237884474,Wahar,ghostlands,834.3
176492055,Mänoplas,dun-modr,1007.6
81332892,Beigrim,ravenholdt,694.7
155718561,Akarioushiza,blackhand,840.6
156870159,Llyara,blackmoore,977.5
183858855,Кусочекдобра,gordunni,964.8
146574721,Yckel,archimonde,757.3
186959790,Radøx,archimonde,743.8
168139021,Jesiica,dun-modr,832.6
158857206,Darkhammer,uldaman,650.9
194883940,Chargoul,archimonde,961.2
154448990,Draklisosse,krasus,777.3
97922517,Aratrok,elune,667.6
175340032,Sleepydon,khaz-modan,694.6
46704285,Teåh,ysondre,809.6
174990510,Ксандеркейдж,howling-fjord,1287.1
246928299,Янетирион,goldrinn,669.5
190255397,Dësire,frostmane,604.1
121109483,Инфрагилис,fordragon,626.7
128896905,Murielbagge,ravencrest,994.0
156462241,Dxr,antonidas,654.9
244090340,Luxora,sylvanas,659.2
79365542,Shamalaiah,pozzo-delleternità,575.9
195734490,Fâren,hyjal,471.8
195476401,Zerôo,archimonde,701.2
93311034,Zoll,emerald-dream,464.5
116329920,Glicynia,doomhammer,609.9
161999515,Trasher,nordrassil,677.3
242743548,Мануэлочка,gordunni,1465.3
123975626,Florki,blackhand,1363.2
133368774,Qunaii,defias-brotherhood,1297.6
110411737,Meteoupala,medivh,785.6
244789974,Jonbeng,sylvanas,
184164572,Confesser,silvermoon,1332.5
137188214,Qwerdin,draenor,1565.8
137831375,Hashcat,defias-brotherhood,1328.2
155906147,Destic,ravencrest,1228.7
244355575,Церейрус,gordunni,921.2
151342688,Xénobia,hyjal,1312.3
196348216,Xquizite,kazzak,1145.1
118482816,Nolthee,ragnaros,1040.0
169763148,Turelyon,tarren-mill,1039.2
100995770,Néphalià,suramar,803.1
174412277,Raíjin,dalaran,951.8
147357286,Nanisunda,thrall,1292.6
143460856,Faalcon,drakthul,1198.8
246712403,Pasunepipe,sylvanas,722.3
93285717,Stephanofke,shadowsong,1020.3
196668806,Knuthamsun,outland,727.8
108038552,Myssella,ravencrest,1165.0
141981486,Wtfpal,khaz-modan,953.4
182521135,Панхирофос,gordunni,760.6
157746377,Palasite,argent-dawn,945.1
188402402,Ergard,the-maelstrom,1312.1
164034327,Indjanac,tarren-mill,895.7
195016344,Pwênt,chamber-of-aspects,951.1
242572705,Pajadin,sylvanas,677.9
120687265,Korlsh,hyjal,947.4
154272043,Eärfalas,ysondre,815.9
158188168,Lottot,hyjal,704.3
106782013,Luca,trollbane,727.8
127221546,Sealofbadass,trollbane,791.2
110044331,Vish,balnazzar,1009.0
97896265,Lâureline,ysondre,1058.2
135977528,Vavaculoo,karazhan,931.7
243500598,Djarlstam,arathor,813.3
93349991,Fraggy,emerald-dream,1119.2
161079880,Netorare,garona,772.6
80132304,Алотиель,howling-fjord,832.4
174469943,Astart,khaz-modan,853.3
116613516,Кабриана,gordunni,881.7
69209330,Tuor,shattrath,830.6
168013353,Pyhäjyrä,stormreaver,251.5
107016596,Scoxx,twilights-hammer,933.6
241480812,Петушарий,lich-king,654.2
175168044,Покеда,galakrond,798.5
161878425,Uun,dun-morogh,1137.5
242855357,Ктун,blackscar,584.3
192222880,Palabaron,silvermoon,703.8
157126041,Rigbörg,medivh,558.1
116166109,Lirînaya,antonidas,702.0
30715828,Valarion,tyrande,771.3
175337639,Acrome,dun-modr,666.5
124013531,Divinîty,suramar,845.7
89098463,Kurtis,dalaran,759.9
196719530,Calypsëa,hyjal,778.5
155583494,Crøfth,dun-modr,742.9
246448825,Гнур,gordunni,622.1
154440679,Pattex,antonidas,1001.7
73843042,Sandà,antonidas,658.3
95172577,Enjoythelife,twisting-nether,795.7
154874705,Lumïz,dun-modr,737.0
155824157,Szeiriosz,silvermoon,718.0
133754186,Hopvang,drekthar,791.0
196109915,Poggér,archimonde,972.0
151927165,Lactadin,kazzak,611.4
216413935,Baback,sylvanas,649.4
99134096,Meganefox,suramar,157.0
167242097,Tyrâel,nathrezim,674.6
164706014,Hellobill,aerie-peak,549.5
177189357,Adrux,dun-modr,518.5
174904669,Bââng,aegwynn,725.1
83033552,Nhano,les-sentinelles,481.7
154104832,Angrod,medivh,527.2
106598701,Sarkän,suramar,589.0
246787207,Чикатилище,eversong,556.7
154505424,Арчихпро,soulflayer,482.5
121730697,Кейландар,howling-fjord,354.2
188811084,Ðrann,hyjal,489.1
155491137,Wtyou,blackhand,628.9
167198491,Glückskreuza,blackmoore,727.2
104353210,Krisastas,ysondre,212.4
159337160,Gilrock,ravencrest,585.6
165359166,Rhimto,der-abyssische-rat,608.9
114927911,Cixsmens,chants-éternels,483.1
93155952,Cachifirulo,colinas-pardas,654.9
197951787,Meyraçk,hyjal,541.7
161363593,Körm,kaelthas,502.7
45422692,Богал,azuregos,769.2
116997350,Wolfssatan,antonidas,620.5
162717430,Nainpaladin,voljin,744.2
116885635,Eledwards,suramar,480.3
197418685,Umutten,silvermoon,624.2
97450892,Zäzou,elune,890.8
166641501,Rstudios,hyjal,1032.4
195796790,Zäneri,silvermoon,1425.2
176910174,Joamn,burning-legion,1194.9
104717668,Тесиняка,gordunni,1278.3
157739997,Martinuther,dun-modr,1226.6
177510032,Верриммор,howling-fjord,869.5
141373258,Érias,dalaran,1209.8
112893615,Boukitos,drekthar,1099.3
134547837,Bully,uldum,1374.7
176503680,Ninosplinter,pozzo-delleternità,1143.1
164118182,Bricefa,dalaran,995.2
181677258,Саффирин,gordunni,1651.6
176061718,Maynea,dalaran,883.3
142712191,Нартбер,eversong,931.8
192868960,Hölÿshït,archimonde,1093.4
192439694,Péremptoire,hyjal,860.8
175162400,Seakex,ragnaros,1311.6
191471039,Ohlgren,frostmane,1006.4
162447339,Divinebubble,draenor,1037.1
109495860,Staviik,silvermoon,1040.2
241867924,Скарбрандт,soulflayer,873.2
148537424,Exizor,tarren-mill,1142.8
192823712,Rammelsurium,aegwynn,892.1
176246875,Asphodel,burning-legion,825.1
135298036,Cangurón,dun-modr,883.3
243788354,Tinata,hellfire,865.7
187022384,Bubblewoman,arathor,1049.5
241568352,Военврач,blackscar,791.5
176695367,Peludinz,zuljin,1480.1
126557156,Cyãnne,hyjal,889.8
175000651,Biscu,outland,965.0
