Head,Neck,Shoulders,Chest,Waist,Legs,Feet,Wrist,Hands,Ring 1,Ring 2,Trinket 1,Trinket 2,Back,Main Hand,Off Hand,character.id,Shirt,Tabard
Darkfrost Helmet,Azure-Venom Choker,Shadowghast Pauldrons,Breastplate of Cautious Calculation,Sinful Gladiator's Plate Greatbelt,Sinful Gladiator's Plate Legguards,Stoneguard Attendant's Boots,Hellhound Cuffs,Guilewind Stone Talons,Hyperlight Band,Ritualist's Treasured Ring,Blood-Spattered Scale,Gluttonous Spike,Cowled Batwing Cloak,Xandria's Kopis of Courage,Elysian Sentinel's Aegis,138549087,Precious' Ribbon,Hellscream's Reach Tabard
Darkfrost Helmet,Charm of Eternal Winter,Epaulettes of Overwhelming Force,Breastplate of Cautious Calculation,Binding of Warped Desires,Endlessly Gluttonous Greaves,Errant Crusader's Greaves,Hellhound Cuffs,Fleshfused Crushers,Most Regal Signet of Sire Denathrius,Stitchflesh's Misplaced Signet,Anima Field Emitter,Gluttonous Spike,Grim-Veiled Cape,Axe of the Deadgrove,Barricade of the Endless Empire,72804851,Hide of the Murderaffe,Tabard of the Honorbound
Shadowghast Helm,Sin Stained Pendant,Sinful Gladiator's Plate Shoulders,Breastplate of Fatal Contrivances,Sinful Gladiator's Plate Greatbelt,Galvanized Oxxein Legguards,Stoneguard Attendant's Boots,Vambraces of the Depraved Warden,Guilewind Stone Talons,Arachnid Cipher Ring,Sinful Gladiator's Ring,Blood-Spattered Scale,Bladedancer's Armor Kit,Cloak of Enveloping Manifestations,Gorestained Cleaver,Sinful Gladiator's Guard,107769620,,Orgrimmar Tabard
Darkfrost Helmet,Noble's Birthstone Pendant,Pauldrons of Unleashed Pride,Breastplate of Cautious Calculation,Girdle of the Soulflayer,Galvanized Oxxein Legguards,Shadowghast Sabatons,Reality-Shatter Vambraces,Fleshfused Crushers,Ardent Sunstar Signet,Ritual Bone Band,Splintered Heart of Al'ar,Stone Legion Heraldry,Decadent Nathrian Shawl,Sinsmasher,Barrier of the Chosen,118898585,,Renowned Guild Tabard
Wing Commander's Helmet,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Fused Bone Greatbelt,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Hellhound Cuffs,Distorted Construct's Gauntlets,Hyperlight Band,Death God's Signet,Splintered Heart of Al'ar,Blood-Spattered Scale,Dealer Xy'exa's Cape,Gorestained Cleaver,Chyrus's Crest of Hope,166976970,,
Wing Commander's Helmet,Sin Stained Pendant,Epaulettes of Overwhelming Force,Breastplate of Brutal Dissonance,Girdle of the Soulflayer,Shadowghast Greaves,Errant Crusader's Greaves,Hellhound Cuffs,Fleshfused Crushers,Hyperlight Band,Death God's Signet,Splintered Heart of Al'ar,Blood-Spattered Scale,Cowled Batwing Cloak,Sophisticated Bonecracker,Stonewrought Gargoyles Barrier,128931743,,
Shadowghast Helm,Trailspinner Pendant,Sinful Gladiator's Plate Pauldrons,Abdominal Securing Chestguard,Stonebark Girdle,Sinful Gladiator's Plate Legguards,Errant Crusader's Greaves,Hellhound Cuffs,Sinful Gladiator's Plate Gauntlets,Ritual Bone Band,Sinful Gladiator's Ring,Anima Field Emitter,Spare Meat Hook,Drape of Twisted Loyalties,Gorestained Cleaver,Barricade of the Endless Empire,140030797,Sleeveless T-Shirt,
Darkfrost Helmet,Sin Stained Pendant,Prankster's Pauldrons,Abdominal Securing Chestguard,Shadowghast Waistguard,Galvanized Oxxein Legguards,Sabatons of the Rushing Juggernaut,Vambraces of the Depraved Warden,Distorted Construct's Gauntlets,Stitchflesh's Misplaced Signet,Hyperlight Band,Blood-Spattered Scale,Macabre Sheet Music,Cowled Batwing Cloak,Axe of the Deadgrove,Acidslough Bulwark,139320548,,
Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Scarred Bloodbound Girdle,Ceremonial Parade Legguards,Stoneguard Attendant's Boots,Vambraces of the Depraved Warden,Fogweaver Gauntlets,Stitchflesh's Misplaced Signet,Death God's Signet,Viscera of Coalesced Hatred,Splintered Heart of Al'ar,Cowled Batwing Cloak,Ascended Gladius of Glory,Elysian Sentinel's Aegis,173473003,Red Linen Shirt,Darnassus Tabard
Shadowghast Helm,Trailspinner Pendant,Prankster's Pauldrons,Breastplate of Fatal Contrivances,Binding of Warped Desires,Galvanized Oxxein Legguards,Warboots of Ruthless Conviction,Hellhound Cuffs,Fallen Templar's Gauntlets,Band of the Risen Bonelord,Entwined Gorger Tendril,Splintered Heart of Al'ar,Gluttonous Spike,Cloak of Enveloping Manifestations,Axe of the Deadgrove,Elysian Sentinel's Aegis,117322186,,
Diadem of Imperious Desire,Charm of Eternal Winter,Unyielding Combatant's Pauldrons,Chestplate of the March Warden,Stoic Guardsman's Belt,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Pit Fighter's Wristguards,Guilewind Stone Talons,Shadowghast Ring,Band of the Risen Bonelord,Blood-Spattered Scale,Splintered Heart of Al'ar,Crest of the Legionnaire General,Gorestained Cleaver,Encrusted Canopic Lid,85468151,,Guild Tabard
