Head,Neck,Shoulders,Chest,Waist,Legs,Feet,Wrist,Hands,Ring 1,Ring 2,Trinket 1,Trinket 2,Back,Main Hand,Off Hand,character.id,Shirt,Tabard
Wing Commander's Helmet,Sinful Gladiator's Necklace,Sinful Gladiator's Plate Pauldrons,Abdominal Securing Chestguard,Shadowghast Waistguard,Halkias's Towering Pillars,Muckwallow Stompers,Thunderous Echo Vambraces,Sinful Gladiator's Plate Handguards,Stitchflesh's Misplaced Signet,Ritualist's Treasured Ring,Blood-Spattered Scale,Splintered Heart of Al'ar,Drape of Twisted Loyalties,Engorged Worm Smasher,Sinful Gladiator's Guard,69296778,Precious' Ribbon,
Wing Commander's Helmet,Azure-Venom Choker,Prankster's Pauldrons,Abdominal Securing Chestguard,Shadowghast Waistguard,Gormshell Greaves,Sabatons of the Rushing Juggernaut,Soldier's Stoneband Wristguards,Fallen Templar's Gauntlets,Stitchflesh's Misplaced Signet,Band of the Risen Bonelord,Blood-Spattered Scale,Anima Field Emitter,Sinful Gladiator's Drape,Scithewood Scepter,Acidslough Bulwark,117935661,,Orgrimmar Tabard
Wing Commander's Helmet,Charm of Eternal Winter,Pauldrons of Unleashed Pride,Rampaging Giant's Chestplate,Girdle of the Soulflayer,Shadowghast Greaves,Sabatons of the Rushing Juggernaut,Vambraces of the Depraved Warden,Fogweaver Gauntlets,Stitchflesh's Misplaced Signet,Signet of the False Accuser,Anima Field Emitter,Gluttonous Spike,Cowled Batwing Cloak,Sophisticated Bonecracker,Chyrus's Crest of Hope,88946441,,
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Halkias's Towering Pillars,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Guilewind Stone Talons,Stitchflesh's Misplaced Signet,Signet of the False Accuser,Phial of Putrefaction,Inscrutable Quantum Device,Cowled Batwing Cloak,Xandria's Kopis of Courage,Elysian Sentinel's Aegis,165365331,Precious' Ribbon,Tabard of the Zandalari
Darkfrost Helmet,Sin Stained Pendant,Pauldrons of Unleashed Pride,Breastplate of Otherworldly Influence,Shadowghast Waistguard,Halkias's Towering Pillars,Errant Crusader's Greaves,Sinful Gladiator's Plate Vambraces,Guilewind Stone Talons,Stitchflesh's Misplaced Signet,Death God's Signet,Blood-Spattered Scale,Stone Legion Heraldry,Crest of the Legionnaire General,Sinful Gladiator's Xiphos,Elysian Sentinel's Aegis,157739997,,
Shadowghast Helm,Azure-Venom Choker,Pauldrons of Unleashed Pride,Breastplate of Otherworldly Influence,Fused Bone Greatbelt,Halkias's Towering Pillars,Stoneguard Attendant's Boots,Vambraces of the Depraved Warden,Fleshfused Crushers,Signet of the False Accuser,Arachnid Cipher Ring,Decanter of Anima-Charged Winds,Anima Field Emitter,Shroud of the Penitent,Axe of the Deadgrove,Acidslough Bulwark,157086429,,
Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Endlessly Gluttonous Greaves,Dynamo Doomstompers,Hellhound Cuffs,Fogweaver Gauntlets,Fleshfused Circle,Band of the Risen Bonelord,Stone Legion Heraldry,Decanter of Anima-Charged Winds,Blighted Margrave's Cloak,Engorged Worm Smasher,Acidslough Bulwark,150513770,Artisan Officer's Shirt,Argent Crusader's Tabard
Shadowghast Helm,Sin Stained Pendant,Prankster's Pauldrons,Breastplate of Brutal Dissonance,Girdle of the Soulflayer,Halkias's Towering Pillars,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Guilewind Stone Talons,Signet of the False Accuser,Ring of Perpetual Conflict,Anima Field Emitter,Blood-Spattered Scale,Blighted Margrave's Cloak,Gorestained Cleaver,Sinful Gladiator's Guard,214836177,,
Wrathbark Greathelm,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Binding of Warped Desires,Halkias's Towering Pillars,Sabatons of the Rushing Juggernaut,Thunderous Echo Vambraces,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Ritual Commander's Ring,Blood-Spattered Scale,Viscera of Coalesced Hatred,Cowled Batwing Cloak,Axe of the Deadgrove,Barricade of the Endless Empire,97450151,,
Wing Commander's Helmet,Charm of Eternal Winter,Prankster's Pauldrons,Rampaging Giant's Chestplate,Shadowghast Waistguard,Ceremonial Parade Legguards,Errant Crusader's Greaves,Thunderous Echo Vambraces,Colossal Plate Gauntlets,Death God's Signet,Signet of the False Accuser,Sanguine Vintage,Splintered Heart of Al'ar,Drape of Twisted Loyalties,Axe of the Deadgrove,Acidslough Bulwark,159545431,,
Shadowghast Helm,Trailspinner Pendant,Prankster's Pauldrons,Abdominal Securing Chestguard,Girdle of the Soulflayer,Sinful Gladiator's Plate Legguards,Stoneguard Attendant's Boots,Hellhound Cuffs,Sinful Gladiator's Plate Handguards,Ritual Bone Band,Hyperlight Band,Sinful Aspirant's Insignia of Alacrity,Sinful Aspirant's Medallion,Drape of Twisted Loyalties,Axe of the Deadgrove,Elysian Sentinel's Aegis,148488921,,Tabard of the Zandalari
Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Stoic Guardsman's Belt,Galvanized Oxxein Legguards,Muckwallow Stompers,Pit Fighter's Wristguards,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Signet of the False Accuser,Splintered Heart of Al'ar,Stone Legion Heraldry,Dealer Xy'exa's Cape,Sinful Gladiator's Xiphos,Chyrus's Crest of Hope,131403913,Stylish Black Shirt,Tabard of the Kirin Tor
Wing Commander's Helmet,Azure-Venom Choker,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Stoic Guardsman's Belt,Halkias's Towering Pillars,Errant Crusader's Greaves,Pit Fighter's Wristguards,Fogweaver Gauntlets,Hyperlight Band,Ardent Sunstar Signet,Overwhelming Power Crystal,Splintered Heart of Al'ar,Cowled Batwing Cloak,Engorged Worm Smasher,Elysian Sentinel's Aegis,81816192,Precious' Ribbon,
Shadowghast Helm,Sin Stained Pendant,Prankster's Pauldrons,Sinful Gladiator's Plate Chestguard,Girdle of the Soulflayer,Sinful Gladiator's Plate Legguards,Muckwallow Stompers,Sinful Gladiator's Plate Vambraces,Sinful Gladiator's Plate Gauntlets,Stitchflesh's Misplaced Signet,Death God's Signet,Blood-Spattered Scale,Anima Field Emitter,Mantle of Manifest Sins,Axe of the Deadgrove,Sinful Gladiator's Guard,133763979,,Dominating Gladiator's Tabard
Shadowghast Helm,Charm of Eternal Winter,Unyielding Combatant's Pauldrons,Breastplate of Cautious Calculation,Stoic Guardsman's Belt,Endlessly Gluttonous Greaves,Errant Crusader's Greaves,Thunderous Echo Vambraces,Fleshfused Crushers,Ritualist's Treasured Ring,Signet of the False Accuser,Grim Codex,Anima Field Emitter,Blighted Margrave's Cloak,Engorged Worm Smasher,Builwark of the Stone Legion,175872617,Precious' Ribbon,Argent Crusader's Tabard
Wrathbark Greathelm,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Stoic Guardsman's Belt,Halkias's Towering Pillars,Muckwallow Stompers,Thunderous Echo Vambraces,Distorted Construct's Gauntlets,Bloodoath Signet,Ritual Bone Band,Blood-Spattered Scale,Splintered Heart of Al'ar,Cowled Batwing Cloak,Ascended Gladius of Glory,Barricade of the Endless Empire,165427440,,Lightforged Tabard
Selfless Collector's GreatHelm,Sin Stained Pendant,Epaulettes of Overwhelming Force,Rampaging Giant's Chestplate,Binding of Warped Desires,Shadowghast Greaves,Warboots of Ruthless Conviction,Hellhound Cuffs,Fogweaver Gauntlets,Ritualist's Treasured Ring,Hyperlight Band,Blood-Spattered Scale,Splintered Heart of Al'ar,Cowled Batwing Cloak,Axe of the Deadgrove,Encrusted Canopic Lid,87468869,,Silvermoon City Tabard
Shadowghast Helm,Sin Stained Pendant,Epaulettes of Overwhelming Force,Breastplate of Brutal Dissonance,Scarred Bloodbound Girdle,Gormshell Greaves,Errant Crusader's Greaves,Pit Fighter's Wristguards,Fleshfused Crushers,Arachnid Cipher Ring,Signet of the False Accuser,Anima Field Emitter,Inscrutable Quantum Device,Cloak of Enveloping Manifestations,Gorestained Cleaver,Encrusted Canopic Lid,117947922,,Guild Tabard
Wing Commander's Helmet,Sinful Gladiator's Necklace,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Halkias's Towering Pillars,Warboots of Ruthless Conviction,Pit Fighter's Wristguards,Fleshfused Crushers,Death God's Signet,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Decanter of Anima-Charged Winds,Blighted Margrave's Cloak,Sinful Gladiator's Xiphos,Sinful Gladiator's Guard,126337794,,
Darkfrost Helmet,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Scarred Bloodbound Girdle,Gormshell Greaves,Errant Crusader's Greaves,Pit Fighter's Wristguards,Guilewind Stone Talons,Death God's Signet,Stitchflesh's Misplaced Signet,Viscera of Coalesced Hatred,Blood-Spattered Scale,Mantle of Manifest Sins,Sinsmasher,Acidslough Bulwark,56394087,Artisan Officer's Shirt,Tabard of the Lightbringer
Diadem of Imperious Desire,Sin Stained Pendant,Epaulettes of Overwhelming Force,Abdominal Securing Chestguard,Stoic Guardsman's Belt,Halkias's Towering Pillars,Errant Crusader's Greaves,Shadowghast Armguards,Guilewind Stone Talons,Ardent Sunstar Signet,Sinful Gladiator's Signet,Blood-Spattered Scale,Anima Field Emitter,Cowled Batwing Cloak,Axe of the Deadgrove,Acidslough Bulwark,176523884,,
Wrathbark Greathelm,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Breastplate of Fatal Contrivances,Binding of Warped Desires,Gormshell Greaves,Muckwallow Stompers,Soldier's Stoneband Wristguards,Fallen Templar's Gauntlets,Shadowghast Ring,Hyperlight Band,Inscrutable Quantum Device,Blood-Spattered Scale,Cowled Batwing Cloak,Sophisticated Bonecracker,Elysian Sentinel's Aegis,162648914,Precious' Ribbon,
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Gormshell Greaves,Warboots of Ruthless Conviction,Thunderous Echo Vambraces,Fleshfused Crushers,Death God's Signet,Signet of the False Accuser,Gluttonous Spike,Anima Field Emitter,Cowled Batwing Cloak,Axe of the Deadgrove,Acidslough Bulwark,141975019,,
Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Ceremonial Parade Legguards,Errant Crusader's Greaves,Reality-Shatter Vambraces,Colossal Plate Gauntlets,Stitchflesh's Misplaced Signet,Hyperlight Band,Viscera of Coalesced Hatred,Blood-Spattered Scale,Cloak of Enveloping Manifestations,Sinsmasher,Acidslough Bulwark,192268497,,
Shadowghast Helm,Sin Stained Pendant,Prankster's Pauldrons,Breastplate of Otherworldly Influence,Scarred Bloodbound Girdle,Legplates of Unholy Frenzy,Muckwallow Stompers,Reality-Shatter Vambraces,Guilewind Stone Talons,Ritualist's Treasured Ring,Signet of the False Accuser,Blood-Spattered Scale,Slimy Consumptive Organ,Dealer Xy'exa's Cape,Gorestained Cleaver,Encrusted Canopic Lid,165865192,Purple Martial Shirt,Orgrimmar Tabard
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Cautious Calculation,Stoic Guardsman's Belt,Halkias's Towering Pillars,Sinful Aspirant's Plate Warboots,Reality-Shatter Vambraces,Guilewind Stone Talons,Signet of the False Accuser,Death God's Signet,Bladedancer's Armor Kit,Blood-Spattered Scale,Blighted Margrave's Cloak,Supercollider,Acidslough Bulwark,194770582,,
Darkfrost Helmet,Trailspinner Pendant,Shadowghast Pauldrons,Breastplate of Cautious Calculation,Girdle of the Soulflayer,Gormshell Greaves,Dynamo Doomstompers,Hellhound Cuffs,Fleshfused Crushers,Death God's Signet,Stitchflesh's Misplaced Signet,Pulsating Stoneheart,Viscera of Coalesced Hatred,Dealer Xy'exa's Cape,Axe of the Deadgrove,Barricade of the Endless Empire,116897106,,
Darkfrost Helmet,Sin Stained Pendant,Prankster's Pauldrons,Rampaging Giant's Chestplate,Girdle of the Soulflayer,Halkias's Towering Pillars,Errant Crusader's Greaves,Shadowghast Armguards,Colossal Plate Gauntlets,Stitchflesh's Misplaced Signet,Sinful Aspirant's Ring,Blood-Spattered Scale,Splintered Heart of Al'ar,Cowled Batwing Cloak,Sophisticated Bonecracker,Builwark of the Stone Legion,181972979,,
Shadowghast Helm,Sinful Gladiator's Necklace,Prankster's Pauldrons,Sinful Gladiator's Plate Chestguard,Scarred Bloodbound Girdle,Halkias's Towering Pillars,Sinful Gladiator's Plate Warboots,Hellhound Cuffs,Colossal Plate Gauntlets,Death God's Signet,Entwined Gorger Tendril,Blood-Spattered Scale,Inscrutable Quantum Device,Crest of the Legionnaire General,Axe of the Deadgrove,Elysian Sentinel's Aegis,165589574,,Tabard of the Zandalari
Darkfrost Helmet,Sinful Gladiator's Necklace,Shadowghast Pauldrons,Sinful Gladiator's Plate Chestguard,Fused Bone Greatbelt,Halkias's Towering Pillars,Muckwallow Stompers,Reality-Shatter Vambraces,Colossal Plate Gauntlets,Sinful Gladiator's Ring,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Sinful Gladiator's Insignia of Alacrity,Cowled Batwing Cloak,Supercollider,Barricade of the Endless Empire,140580886,Jade's Lovely Shirt,Stone Guard's Herald
Wing Commander's Helmet,Sin Stained Pendant,Epaulettes of Overwhelming Force,Breastplate of Otherworldly Influence,Fused Bone Greatbelt,Halkias's Towering Pillars,Warboots of Ruthless Conviction,Sinful Gladiator's Plate Vambraces,Fleshfused Crushers,Shadowghast Ring,Ritual Bone Band,Phial of Putrefaction,Splintered Heart of Al'ar,Dealer Xy'exa's Cape,Sinsmasher,Barricade of the Endless Empire,151829070,,
Wrathbark Greathelm,Noble's Birthstone Pendant,Shadowghast Pauldrons,Valorous Aegis Breastplate,Stormtempered Girdle,Frostplate Greaves,Stoneguard Attendant's Boots,Reality-Shatter Vambraces,Distorted Construct's Gauntlets,Ritualist's Treasured Ring,Fleshfused Circle,Spare Meat Hook,Splintered Heart of Al'ar,Cowled Batwing Cloak,Engorged Worm Smasher,Sylvan Whiteshield,145763524,,
Wing Commander's Helmet,Sinful Gladiator's Amulet,Shadowghast Pauldrons,Abdominal Securing Chestguard,Girdle of the Soulflayer,Gormshell Greaves,Errant Crusader's Greaves,Pit Fighter's Wristguards,Guilewind Stone Talons,Death God's Signet,Signet of the False Accuser,Blood-Spattered Scale,Anima Field Emitter,Cloak of Enveloping Manifestations,Gorestained Cleaver,Encrusted Canopic Lid,79350341,,
Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Girdle of the Soulflayer,Gormshell Greaves,Stoneguard Attendant's Boots,Pit Fighter's Wristguards,Fleshfused Crushers,Death God's Signet,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Anima Field Emitter,Mantle of Manifest Sins,Engorged Worm Smasher,Acidslough Bulwark,102467301,Initiate's Shirt,Talanji's Expedition Tabard
Diadem of Imperious Desire,Azure-Venom Choker,Shadowghast Pauldrons,Breastplate of Cautious Calculation,Scarred Bloodbound Girdle,Endlessly Gluttonous Greaves,Muckwallow Stompers,Hellhound Cuffs,Fleshfused Crushers,Ritualist's Treasured Ring,Fleshfused Circle,Inscrutable Quantum Device,Stone Legion Heraldry,Drape of Twisted Loyalties,Gorestained Cleaver,Encrusted Canopic Lid,92683238,,
Wrathbark Greathelm,Azure-Venom Choker,Shadowghast Pauldrons,Selfless Collector's Chestplate,Waistguard of Expurged Anguish,Halkias's Towering Pillars,Baetheas' Ironclad Warboots,Shoulderblade Vambraces,Fleshfused Crushers,Death God's Signet,Arachnid Cipher Ring,Inscrutable Quantum Device,Darkmoon Deck: Indomitable,Cowled Batwing Cloak,Gorestained Cleaver,Sinful Gladiator's Guard,166185688,,Orgrimmar Tabard
Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Rampaging Giant's Chestplate,Binding of Warped Desires,Legplates of Unholy Frenzy,Warboots of Ruthless Conviction,Vambraces of the Depraved Warden,Distorted Construct's Gauntlets,Stitchflesh's Misplaced Signet,Signet of the False Accuser,Sanguine Vintage,Viscera of Coalesced Hatred,Dealer Xy'exa's Cape,Xandria's Kopis of Courage,Chyrus's Crest of Hope,157529106,,
Shadowghast Helm,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Breastplate of Brutal Dissonance,Stonebark Girdle,Ceremonial Parade Legguards,Errant Crusader's Greaves,Hellhound Cuffs,Fleshfused Crushers,Fleshfused Circle,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Anima Field Emitter,Crest of the Legionnaire General,Gorestained Cleaver,Barricade of the Endless Empire,106442948,Precious' Ribbon,Tabard of the Lightbringer
Shadowghast Helm,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Breastplate of Brutal Dissonance,Stoic Guardsman's Belt,Legplates of Unholy Frenzy,Warboots of Ruthless Conviction,Thunderous Echo Vambraces,Fallen Templar's Gauntlets,Ring of Perpetual Conflict,Signet of the False Accuser,Gluttonous Spike,Blood-Spattered Scale,Cloak of Enveloping Manifestations,Scithewood Scepter,Elysian Sentinel's Aegis,150317064,,Guild Tabard
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Girdle of the Soulflayer,Gormshell Greaves,Errant Crusader's Greaves,Sinful Gladiator's Plate Vambraces,Sinful Gladiator's Plate Handguards,Death God's Signet,Sinful Gladiator's Ring,Blood-Spattered Scale,Splintered Heart of Al'ar,Cowled Batwing Cloak,Engorged Worm Smasher,Encrusted Canopic Lid,137177891,Common Brown Shirt,Scout's Tabard
Selfless Collector's GreatHelm,Trailspinner Pendant,Shadowghast Pauldrons,Abdominal Securing Chestguard,Binding of Warped Desires,Gormshell Greaves,Selfless Collector's Warboots,Thunderous Echo Vambraces,Hardened Castle Crushers,Hyperlight Band,Twisted Witherroot Band,Slimy Consumptive Organ,Blood-Spattered Scale,Blighted Margrave's Cloak,Sophisticated Bonecracker,Barricade of the Endless Empire,199983208,Tailored Officer's Shirt,Orgrimmar Tabard
Darkfrost Helmet,Muckformed Chain Choker,Shadowghast Pauldrons,Selfless Collector's Chestplate,Stoic Guardsman's Belt,Legplates of Unholy Frenzy,Sinful Aspirant's Plate Warboots,Sinful Gladiator's Plate Vambraces,Fleshfused Crushers,Signet of the False Accuser,Sinful Gladiator's Ring,Gluttonous Spike,Decanter of Anima-Charged Winds,Blighted Margrave's Cloak,Sinful Aspirant's Sword,Encrusted Canopic Lid,74148547,,
Shadowghast Helm,Trailspinner Pendant,Pauldrons of Unleashed Pride,Breastplate of Cautious Calculation,Waistguard of Expurged Anguish,Gormshell Greaves,Errant Crusader's Greaves,Thunderous Echo Vambraces,Distorted Construct's Gauntlets,Hyperlight Band,Death God's Signet,Bladedancer's Armor Kit,Splintered Heart of Al'ar,Cowled Batwing Cloak,Axe of the Deadgrove,Encrusted Canopic Lid,142913816,,
Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Scarred Bloodbound Girdle,Galvanized Oxxein Legguards,Stoneguard Attendant's Boots,Thunderous Echo Vambraces,Fogweaver Gauntlets,Death God's Signet,Signet of the False Accuser,Inscrutable Quantum Device,Bladedancer's Armor Kit,Dealer Xy'exa's Cape,Engorged Worm Smasher,Acidslough Bulwark,243378506,,
Shadowghast Helm,Trailspinner Pendant,Vile Butcher's Pauldrons,Sinful Gladiator's Plate Chestguard,Sinful Gladiator's Plate Girdle,Gormshell Greaves,Sabatons of the Rushing Juggernaut,Reality-Shatter Vambraces,Sinful Gladiator's Plate Gauntlets,Sinful Gladiator's Ring,Sinful Gladiator's Band,Inscrutable Quantum Device,Macabre Sheet Music,Cloak of Enveloping Manifestations,Engorged Worm Smasher,Sinful Gladiator's Guard,130301630,,Tabard of Summer Skies
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Waistguard of Expurged Anguish,Halkias's Towering Pillars,Warboots of Ruthless Conviction,Reality-Shatter Vambraces,Fleshfused Crushers,Hyperlight Band,Ritual Bone Band,Sinful Gladiator's Badge of Ferocity,Splintered Heart of Al'ar,Dealer Xy'exa's Cape,Ascended Gladius of Glory,Encrusted Canopic Lid,168033245,,
Wrathbark Greathelm,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Cautious Calculation,Stoic Guardsman's Belt,Halkias's Towering Pillars,Stoneguard Attendant's Boots,Reality-Shatter Vambraces,Distorted Construct's Gauntlets,Bloodoath Signet,Death God's Signet,Blood-Spattered Scale,Slimy Consumptive Organ,Blighted Margrave's Cloak,Supercollider,Barricade of the Endless Empire,117257254,Amber Filigreed Shirt,Tabard of the Ascended
Plague Handler's Greathelm,Trailspinner Pendant,Unyielding Combatant's Pauldrons,Breastplate of Otherworldly Influence,Shadowghast Waistguard,Gormshell Greaves,Errant Crusader's Greaves,Thunderous Echo Vambraces,Colossal Plate Gauntlets,Stitchflesh's Misplaced Signet,Signet of the False Accuser,Inscrutable Quantum Device,Blood-Spattered Scale,Blighted Margrave's Cloak,Axe of the Deadgrove,Sinful Gladiator's Redoubt,115694018,Precious' Ribbon,Argent Crusader's Tabard
Wing Commander's Helmet,Sin Stained Pendant,Prankster's Pauldrons,Breastplate of Brutal Dissonance,Shadowghast Waistguard,Gormshell Greaves,Dynamo Doomstompers,Soldier's Stoneband Wristguards,Colossal Plate Gauntlets,Signet of the False Accuser,Ritual Bone Band,Sanguine Vintage,Blood-Spattered Scale,Dealer Xy'exa's Cape,Sinsmasher,Elysian Sentinel's Aegis,188410416,,
Shadowghast Helm,Sin Stained Pendant,Pauldrons of Unleashed Pride,Breastplate of Brutal Dissonance,Fused Bone Greatbelt,Galvanized Oxxein Legguards,Warboots of Ruthless Conviction,Thunderous Echo Vambraces,Guilewind Stone Talons,Stitchflesh's Misplaced Signet,Death God's Signet,Sinful Gladiator's Insignia of Alacrity,Anima Field Emitter,Cowled Batwing Cloak,Sophisticated Bonecracker,Barricade of the Endless Empire,174176320,Yellow Martial Shirt,Thunder Bluff Tabard
Wrathbark Greathelm,Azure-Venom Choker,Unyielding Combatant's Pauldrons,Breastplate of Brutal Dissonance,Fused Bone Greatbelt,Gormshell Greaves,Errant Crusader's Greaves,Shoulderblade Vambraces,Shadowghast Gauntlets,Death God's Signet,Hyperlight Band,Blood-Spattered Scale,Splintered Heart of Al'ar,Blighted Margrave's Cloak,Sophisticated Bonecracker,Elysian Sentinel's Aegis,119925571,Precious' Ribbon,
Diadem of Imperious Desire,Charm of Eternal Winter,Pauldrons of Unleashed Pride,Rampaging Giant's Chestplate,Waistguard of Expurged Anguish,Ceremonial Parade Legguards,Muckwallow Stompers,Hellhound Cuffs,Colossal Plate Gauntlets,Band of the Risen Bonelord,Shadowghast Ring,Gluttonous Spike,Blood-Spattered Scale,Cowled Batwing Cloak,Axe of the Deadgrove,Elysian Sentinel's Aegis,126156420,,
Wrathbark Greathelm,Sinful Gladiator's Necklace,Shadowghast Pauldrons,Sinful Gladiator's Plate Chestguard,Girdle of the Soulflayer,Sinful Gladiator's Plate Legguards,Muckwallow Stompers,Sinful Gladiator's Plate Wristguards,Fleshfused Crushers,Sinful Gladiator's Ring,Stitchflesh's Misplaced Signet,Sinful Aspirant's Badge of Ferocity,Darkmoon Deck: Indomitable,Cowled Batwing Cloak,Axe of the Deadgrove,Acidslough Bulwark,154500117,,
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Sinful Gladiator's Plate Chestguard,Sinful Gladiator's Plate Greatbelt,Ceremonial Parade Legguards,Errant Crusader's Greaves,Soldier's Stoneband Wristguards,Colossal Plate Gauntlets,Stitchflesh's Misplaced Signet,Sinful Gladiator's Ring,Blood-Spattered Scale,Splintered Heart of Al'ar,Mantle of Manifest Sins,Engorged Worm Smasher,Chyrus's Crest of Hope,133594367,,Guild Tabard
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Scarred Bloodbound Girdle,Galvanized Oxxein Legguards,Warboots of Ruthless Conviction,Pit Fighter's Wristguards,Fogweaver Gauntlets,Signet of the False Accuser,Ritual Bone Band,Splintered Heart of Al'ar,Blood-Spattered Scale,Cowled Batwing Cloak,Supercollider,Sinful Gladiator's Redoubt,160811800,,Renowned Guild Tabard
Shadowghast Helm,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Breastplate of Cautious Calculation,Scarred Bloodbound Girdle,Endlessly Gluttonous Greaves,Dynamo Doomstompers,Hellhound Cuffs,Hardened Castle Crushers,Death God's Signet,Band of the Risen Bonelord,Blood-Spattered Scale,Anima Field Emitter,Drape of Twisted Loyalties,Axe of the Deadgrove,Acidslough Bulwark,159382094,,Ironforge Tabard
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Rampaging Giant's Chestplate,Girdle of the Soulflayer,Halkias's Towering Pillars,Sinful Gladiator's Plate Warboots,Thunderous Echo Vambraces,Fogweaver Gauntlets,Death God's Signet,Stitchflesh's Misplaced Signet,Anima Field Emitter,Blood-Spattered Scale,Dealer Xy'exa's Cape,Axe of the Deadgrove,Barricade of the Endless Empire,175618793,,Tabard of the 7th Legion
Shadowghast Helm,Trailspinner Pendant,Unyielding Combatant's Pauldrons,Sinful Gladiator's Plate Chestguard,Waistguard of Expurged Anguish,Halkias's Towering Pillars,Muckwallow Stompers,Sinful Gladiator's Plate Vambraces,Fogweaver Gauntlets,Signet of the False Accuser,Stitchflesh's Misplaced Signet,Inscrutable Quantum Device,Splintered Heart of Al'ar,Blighted Margrave's Cloak,Axe of the Deadgrove,Barricade of the Endless Empire,157370269,,
Shadowghast Helm,Sin Stained Pendant,Pauldrons of Unleashed Pride,Breastplate of Cautious Calculation,Fused Bone Greatbelt,Endlessly Gluttonous Greaves,Muckwallow Stompers,Soldier's Stoneband Wristguards,Guilewind Stone Talons,Arachnid Cipher Ring,Hyperlight Band,Blood-Spattered Scale,Splintered Heart of Al'ar,Drape of Twisted Loyalties,Gorestained Cleaver,Chyrus's Crest of Hope,237883055,,
Oversized Centurion Helm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Selfless Collector's Girdle,Galvanized Oxxein Legguards,Dynamo Doomstompers,Shoulderblade Vambraces,Distorted Construct's Gauntlets,Hyperlight Band,Ring of Perpetual Conflict,Blood-Spattered Scale,Anima Field Emitter,Dealer Xy'exa's Cape,Engorged Worm Smasher,Acidslough Bulwark,166101444,,Guild Tabard
Wrathbark Greathelm,Charm of Eternal Winter,Pauldrons of Unleashed Pride,Breastplate of Fatal Contrivances,Shadowghast Waistguard,Galvanized Oxxein Legguards,Warboots of Ruthless Conviction,Soldier's Stoneband Wristguards,Fogweaver Gauntlets,Fleshfused Circle,Ritual Bone Band,Inscrutable Quantum Device,Splintered Heart of Al'ar,Dealer Xy'exa's Cape,Supercollider,Elysian Sentinel's Aegis,139520452,,Tabard of the Ascended
Wrathbark Greathelm,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Rampaging Giant's Chestplate,Shadowghast Waistguard,Gormshell Greaves,Muckwallow Stompers,Hellhound Cuffs,Fleshfused Crushers,Death God's Signet,Arachnid Cipher Ring,Blood-Spattered Scale,Gluttonous Spike,Drape of Twisted Loyalties,Engorged Worm Smasher,Acidslough Bulwark,166887239,,
