Head,Neck,Shoulders,Shirt,Chest,Waist,Legs,Feet,Wrist,Hands,Ring 1,Ring 2,Trinket 1,Trinket 2,Back,Main Hand,Off Hand,Tabard,character.id
Diadem of Imperious Desire,Charm of Eternal Winter,Pauldrons of Unleashed Pride,Artisan Officer's Shirt,Breastplate of Cautious Calculation,Sinful Gladiator's Plate Greatbelt,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Hellhound Cuffs,Distorted Construct's Gauntlets,Ritual Bone Band,Shadowghast Ring,Anima Field Emitter,Splintered Heart of Al'ar,Cowled Batwing Cloak,Axe of the Deadgrove,Barricade of the Endless Empire,,193962337
Wing Commander's Helmet,Sin Stained Pendant,Prankster's Pauldrons,,Rampaging Giant's Chestplate,Shadowghast Waistguard,Halkias's Towering Pillars,Muckwallow Stompers,Pit Fighter's Wristguards,Fogweaver Gauntlets,Signet of the False Accuser,Stitchflesh's Misplaced Signet,Anima Field Emitter,Pulsating Stoneheart,Blighted Margrave's Cloak,Axe of the Deadgrove,Barricade of the Endless Empire,,142260104
Sinful Gladiator's Plate Helmet,Sinful Gladiator's Pendant,Shadowghast Pauldrons,,Abdominal Securing Chestguard,Scarred Bloodbound Girdle,Endlessly Gluttonous Greaves,Stoneguard Attendant's Boots,Soldier's Stoneband Wristguards,Sinful Gladiator's Plate Handguards,Hyperlight Band,Sinful Gladiator's Ring,Slimy Consumptive Organ,Sinful Gladiator's Insignia of Alacrity,Cowled Batwing Cloak,Engorged Worm Smasher,Sinful Gladiator's Guard,Illustrious Guild Tabard,164292006
Wrathbark Greathelm,Sin Stained Pendant,Sinful Gladiator's Plate Pauldrons,Sleeveless T-Shirt,Breastplate of Cautious Calculation,Girdle of the Soulflayer,Gormshell Greaves,Errant Crusader's Greaves,Shadowghast Armguards,Sinful Gladiator's Plate Handguards,Hyperlight Band,Sinful Gladiator's Ring,Sinful Aspirant's Insignia of Alacrity,Sinful Aspirant's Medallion,Cowled Batwing Cloak,Sinful Gladiator's Swordbreaker,Sinful Gladiator's Redoubt,Tabard of the Honorbound,186058769
Diadem of Imperious Desire,Trailspinner Pendant,Prankster's Pauldrons,Precious' Ribbon,Rampaging Giant's Chestplate,Shadowghast Waistguard,Gormshell Greaves,Warboots of Ruthless Conviction,Pit Fighter's Wristguards,Fogweaver Gauntlets,Ardent Sunstar Signet,Fleshfused Circle,Gluttonous Spike,Splintered Heart of Al'ar,Cloak of Enveloping Manifestations,Sophisticated Bonecracker,Acidslough Bulwark,,176370068
Helm of the Faceless,Sinful Gladiator's Necklace,Pauldrons of Unleashed Pride,Floot-Tooter's Tunic,Abdominal Securing Chestguard,Shadowghast Waistguard,Halkias's Towering Pillars,Sinful Gladiator's Plate Warboots,Hellhound Cuffs,Fleshfused Crushers,Death God's Signet,Ritual Bone Band,Blood-Spattered Scale,Splintered Heart of Al'ar,Shawl of Haunted Memories,Engorged Worm Smasher,Elysian Sentinel's Aegis,Renowned Guild Tabard,83903609
Wrathbark Greathelm,Charm of Eternal Winter,Pauldrons of Unleashed Pride,Stylish Red Shirt,Breastplate of Otherworldly Influence,Shadowghast Waistguard,Halkias's Towering Pillars,Muckwallow Stompers,Vambraces of the Depraved Warden,Fleshfused Crushers,Hyperlight Band,Signet of the False Accuser,Blood-Spattered Scale,Inscrutable Quantum Device,Crest of the Legionnaire General,Sophisticated Bonecracker,Acidslough Bulwark,,166130255
Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,White Tuxedo Shirt,Abdominal Securing Chestguard,Waistguard of Expurged Anguish,Halkias's Towering Pillars,Sabatons of the Rushing Juggernaut,Thunderous Echo Vambraces,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Ritual Bone Band,Blood-Spattered Scale,Splintered Heart of Al'ar,Blighted Margrave's Cloak,Gorestained Cleaver,Barricade of the Endless Empire,Guild Tabard,191894188
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Precious' Ribbon,Abdominal Securing Chestguard,Fused Bone Greatbelt,Halkias's Towering Pillars,Warboots of Ruthless Conviction,Pit Fighter's Wristguards,Distorted Construct's Gauntlets,Death God's Signet,Entwined Gorger Tendril,Pulsating Stoneheart,Inscrutable Quantum Device,Cowled Batwing Cloak,Supercollider,Elysian Sentinel's Aegis,Tabard of the Lightbringer,175724424
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,,Rampaging Giant's Chestplate,Stoic Guardsman's Belt,Halkias's Towering Pillars,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Fleshfused Crushers,Death God's Signet,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Stone Legion Heraldry,Cowled Batwing Cloak,Supercollider,Encrusted Canopic Lid,,91221822
Sinful Gladiator's Plate Helm,Sinful Gladiator's Necklace,Shadowghast Pauldrons,,Sinful Gladiator's Plate Chestguard,Sinful Gladiator's Plate Greatbelt,Sinful Gladiator's Plate Legguards,Sinful Gladiator's Plate Warboots,Vambraces of the Depraved Warden,Sinful Gladiator's Plate Handguards,Sinful Gladiator's Ring,Death God's Signet,Splintered Heart of Al'ar,Sinful Aspirant's Insignia of Alacrity,Crest of the Legionnaire General,Sinful Gladiator's Hacker,Sinful Gladiator's Guard,Tabard of the Ascended,162666743
Shadowghast Helm,Charm of Eternal Winter,Prankster's Pauldrons,,Breastplate of Fatal Contrivances,Waistguard of Expurged Anguish,Endlessly Gluttonous Greaves,Errant Crusader's Greaves,Thunderous Echo Vambraces,Colossal Plate Gauntlets,Signet of the False Accuser,Ritual Bone Band,Splintered Heart of Al'ar,Blood-Spattered Scale,Cowled Batwing Cloak,Supercollider,Chyrus's Crest of Hope,,244619548
Shadowghast Helm,Trailspinner Pendant,Unyielding Combatant's Pauldrons,Fashionable Undershirt,Breastplate of Otherworldly Influence,Stoic Guardsman's Belt,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Guilewind Stone Talons,Stitchflesh's Misplaced Signet,Hyperlight Band,Blood-Spattered Scale,Sinful Aspirant's Badge of Ferocity,Cloak of Enveloping Manifestations,Barbed-Edge of the Stone Legion,Acidslough Bulwark,Tabard of the Argent Dawn,144046900
Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,,Breastplate of Fatal Contrivances,Waistguard of Expurged Anguish,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Shoulderblade Vambraces,Sinful Gladiator's Plate Handguards,Signet of the False Accuser,Stitchflesh's Misplaced Signet,Sanguine Vintage,Decanter of Anima-Charged Winds,Crest of the Legionnaire General,Sinsmasher,Barricade of the Endless Empire,Tabard of Brute Force,171490413
Darkfrost Helmet,Sin Stained Pendant,Prankster's Pauldrons,Precious' Ribbon,Breastplate of Otherworldly Influence,Shadowghast Waistguard,Gormshell Greaves,Warboots of Ruthless Conviction,Vambraces of the Depraved Warden,Fallen Templar's Gauntlets,Stitchflesh's Misplaced Signet,Bloodoath Signet,Blood-Spattered Scale,Anima Field Emitter,Blighted Margrave's Cloak,Sinful Aspirant's Sword,Acidslough Bulwark,Tabard of the Lightbringer,136570788
Wrathbark Greathelm,Charm of Eternal Winter,Shadowghast Pauldrons,,Abdominal Securing Chestguard,Girdle of the Soulflayer,Galvanized Oxxein Legguards,Sabatons of the Rushing Juggernaut,Vambraces of the Depraved Warden,Guilewind Stone Talons,Hyperlight Band,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Decanter of Anima-Charged Winds,Crest of the Legionnaire General,Supercollider,Acidslough Bulwark,,125683470
Plague Handler's Greathelm,Sinful Gladiator's Necklace,Shadowghast Pauldrons,Selis' Silk Shirt,Sinful Gladiator's Plate Chestguard,Girdle of the Soulflayer,Sinful Gladiator's Plate Legguards,Sabatons of the Rushing Juggernaut,Pit Fighter's Wristguards,Fleshfused Crushers,Sinful Gladiator's Signet,Sinful Gladiator's Ring,Blood-Spattered Scale,Anima Field Emitter,Dealer Xy'exa's Cape,Sophisticated Bonecracker,Sinful Gladiator's Guard,Competitor's Tabard,118857877
Wing Commander's Helmet,Charm of Eternal Winter,Prankster's Pauldrons,,Breastplate of Fatal Contrivances,Binding of Warped Desires,Gormshell Greaves,Muckwallow Stompers,Thunderous Echo Vambraces,Fogweaver Gauntlets,Ritual Bone Band,Shadowghast Ring,Sanguine Vintage,Splintered Heart of Al'ar,Dealer Xy'exa's Cape,Gorestained Cleaver,Acidslough Bulwark,,93517910
Shadowghast Helm,Sin Stained Pendant,Unyielding Combatant's Pauldrons,,Breastplate of Otherworldly Influence,Binding of Warped Desires,Halkias's Towering Pillars,Muckwallow Stompers,Thunderous Echo Vambraces,Distorted Construct's Gauntlets,Stitchflesh's Misplaced Signet,Arachnid Cipher Ring,Slimy Consumptive Organ,Viscera of Coalesced Hatred,Dealer Xy'exa's Cape,Axe of the Deadgrove,Acidslough Bulwark,,174985546
Shadowghast Helm,Sinful Gladiator's Necklace,Unyielding Combatant's Pauldrons,Precious' Ribbon,Sinful Gladiator's Plate Chestguard,Sinful Gladiator's Plate Greatbelt,Galvanized Oxxein Legguards,Muckwallow Stompers,Sinful Gladiator's Plate Vambraces,Sinful Gladiator's Plate Gauntlets,Fleshfused Circle,Stitchflesh's Misplaced Signet,Sinful Gladiator's Insignia of Alacrity,Blood-Spattered Scale,Decadent Nathrian Shawl,Sophisticated Bonecracker,Sinful Gladiator's Guard,,172407675
Shadowghast Helm,Sin Stained Pendant,Dread Sentinel's Ebony Spaulders,,Rampaging Giant's Chestplate,Girdle of the Soulflayer,Halkias's Towering Pillars,Warboots of Ruthless Conviction,Vambraces of the Depraved Warden,Fogweaver Gauntlets,Death God's Signet,Stitchflesh's Misplaced Signet,Stone Legion Heraldry,Blood-Spattered Scale,Drape of Twisted Loyalties,Gorestained Cleaver,Builwark of the Stone Legion,,242522149
Darkfrost Helmet,Noble's Birthstone Pendant,Pauldrons of Unleashed Pride,,Breastplate of Otherworldly Influence,Waistguard of Expurged Anguish,Galvanized Oxxein Legguards,Warboots of Ruthless Conviction,Pit Fighter's Wristguards,Distorted Construct's Gauntlets,Shadowghast Ring,Band of the Risen Bonelord,Viscera of Coalesced Hatred,Splintered Heart of Al'ar,Cowled Batwing Cloak,Engorged Worm Smasher,Acidslough Bulwark,Tabard of the Wild Hunt,243494891
Shadowghast Helm,Sin Stained Pendant,Unyielding Combatant's Pauldrons,White Linen Shirt,Breastplate of Otherworldly Influence,Stoic Guardsman's Belt,Halkias's Towering Pillars,Errant Crusader's Greaves,Pit Fighter's Wristguards,Colossal Plate Gauntlets,Death God's Signet,Ritual Bone Band,Splintered Heart of Al'ar,Blood-Spattered Scale,Blighted Margrave's Cloak,Gorestained Cleaver,Acidslough Bulwark,Tabard of the Wild Hunt,91163883
