character.id,profile.name,profile.slug,score
156363836,Nynevee,antonidas,1019.3
162416420,Fordriñg,kazzak,1453.1
132718209,Rebbelle,doomhammer,1075.8
197372769,Bravehearrt,silvermoon,973.3
98593662,Squall,zuluhed,1137.0
175287528,Binkey,quelthalas,712.3
141975019,Agamenón,sanguino,1141.9
83841726,Frozze,dun-modr,906.2
127645662,Krionte,nemesis,1117.5
193624474,Lumikus,silvermoon,907.1
209749715,Энурез,gordunni,1088.6
183589862,Krutopala,silvermoon,896.7
123296268,Téwes,blackrock,954.3
98651090,Marson,ravencrest,830.7
197345219,Ocympia,silvermoon,1220.1
175400548,Fanetigre,chogall,868.1
134419779,Asherough,lightbringer,1048.7
124079940,Mâzekêên,antonidas,1086.6
198223141,Kazlen,kazzak,1394.5
244313418,Рэйнметалл,deathguard,1112.9
176408761,Зверобийник,howling-fjord,883.8
161878425,Uun,dun-morogh,1137.5
196720315,Donjusdo,archimonde,1121.8
175711602,Wertos,twisting-nether,1001.1
144221254,Korppi,emeriss,1163.8
171630364,Altaybey,silvermoon,587.5
79411125,Marut,dun-modr,825.1
195131195,Bastarda,nemesis,1212.0
161706407,Ейгор,gordunni,872.8
247584705,Дейнслейв,gordunni,614.5
132795147,Papyjm,kaelthas,788.3
242572705,Pajadin,sylvanas,677.9
136570788,Athÿbop,hyjal,1026.1
197040220,Daffie,elune,1124.6
194028298,Лаарик,soulflayer,892.9
103591467,Victorius,norgannon,916.7
163605580,Gloini,perenolde,564.9
140599113,Stylana,thrall,824.4
100912701,Arnák,garrosh,701.9
124180279,Bopcorn,draenor,1513.4
218339801,Thundercore,sylvanas,1294.9
156754722,Vacher,zuljin,1344.8
66571785,Goldeneyez,hellscream,918.4
196467693,Ichbintank,hyjal,1238.8
167543148,Caersei,blackrock,1311.8
157000328,Calypox,alexstrasza,1097.0
190257115,Прауддмур,gordunni,1042.1
85722439,Zimbeli,stormreaver,825.1
218221648,Jackywise,sylvanas,1123.2
133037741,Kurosaki,uldum,1015.9
110125756,Holizer,blackhand,1344.5
160289629,Horstiné,teldrassil,635.6
113327781,Teregoros,stormscale,1190.1
203314971,Корннет,soulflayer,1150.4
118482816,Nolthee,ragnaros,1040.0
