,profile.name,profile.realm.slug,specialization.id
3,Osloth,blackmoore,66
1,Zefiris,silvermoon,66
2,Эйналкум,soulflayer,66
0,Ragnåròs,stormscale,66
0,Tayluh,silvermoon,66
4,Offspring,hyjal,66
2,Iotheriel,blackmoore,66
4,Тапкрап,gordunni,66
4,Sargeratt,kazzak,66
0,Vinker,archimonde,66
4,Telariasse,hyjal,66
2,Terrycrews,shadowsong,66
4,Zendyron,silvermoon,66
3,Silverdawn,runetotem,66
3,Elmartopilon,magtheridon,66
2,Чистаклоун,howling-fjord,66
2,Fezzen,argent-dawn,66
2,Ватасин,gordunni,66
3,Hektor,sanguino,66
4,Palakø,zuljin,66
3,Izlandhil,archimonde,66
1,Fettig,ysondre,66
4,Naomix,dalaran,66
1,Tazrof,elune,66
2,Valnura,dalaran,66
2,Goatse,sporeggar,66
0,Egizia,alleria,66
0,Киото,gordunni,66
1,Ymani,antonidas,66
0,Mortheens,tarren-mill,66
4,Perhun,khaz-modan,66
2,Nettrix,kazzak,66
3,Ponglenís,archimonde,66
2,Mørel,kirin-tor,66
4,Ronby,aegwynn,66
2,Ozgul,silvermoon,66
0,Pleijo,stormreaver,66
2,Cuddlebubble,ravencrest,66
2,Палкашка,soulflayer,66
3,Пвпшерс,galakrond,66
3,Фрорхев,gordunni,66
1,Johhnt,terokkar,66
3,Hammerdín,ravencrest,66
0,Savera,confrérie-du-thorium,66
1,Phalaxx,alleria,66
4,Daergurn,dun-modr,66
2,Ashïtaka,arakarahm,66
2,Vallerias,medivh,66
2,Insaniam,thrall,66
0,Алексфорд,soulflayer,66
1,Calhadin,khaz-modan,66
2,Grike,krasus,66
1,Saphjr,blackrock,66
3,Kiím,norgannon,66
0,Puczzor,ragnaros,66
4,Tagadaz,suramar,66
2,Sohothian,silvermoon,66
2,Funpun,outland,66
1,Katro,antonidas,66
2,Мукадка,blackscar,66
1,Primùs,argent-dawn,66
4,Orbaj,sanguino,66
3,Mwoua,khaz-modan,66
3,Rivendare,archimonde,66
0,Grothen,dalaran,66
4,Thorradin,ysondre,66
4,Merdunord,medivh,66
1,Àlethia,grim-batol,66
3,Captcanada,moonglade,66
2,Rottenbelf,tarren-mill,66
4,Cronox,medivh,66
0,Teodorr,sylvanas,66
2,Bulldo,rashgarroth,66
3,Allethea,emerald-dream,66
3,Globbex,draenor,66
4,Старсабер,gordunni,66
2,Морфеу,gordunni,66
1,Dràkey,hyjal,66
1,Sogib,twisting-nether,66
3,Холибро,howling-fjord,66
0,Louac,varimathras,66
3,Jackywise,sylvanas,66
2,Rzvcc,deathwing,66
4,Ледкс,howling-fjord,66
4,Rév,hellfire,66
1,Crucíble,silvermoon,66
2,Lesure,kul-tiras,66
0,Шэйнман,gordunni,66
0,Вайнрих,galakrond,66
1,Фийка,gordunni,66
4,Vilgford,hyjal,66
1,Bobyjunior,hyjal,66
2,Heracleus,ravencrest,66
3,Каммра,howling-fjord,66
1,Стопля,gordunni,66
2,Apa,sylvanas,66
2,Holysoly,arathor,66
0,Lîquitwalker,antonidas,66
3,Bubblégúm,ravencrest,66
0,Erhika,minahonda,66
1,Uhli,aegwynn,66
3,Yaidon,argent-dawn,66
4,Isuen,sylvanas,66
2,Sjèfke,silvermoon,66
0,Houdoor,ravencrest,66
2,Adriannus,dun-modr,66
3,Eolyria,aegwynn,66
0,Bubák,wildhammer,66
3,Thandríel,argent-dawn,66
2,Miaredslava,argent-dawn,66
2,Selnahlu,elune,66
1,Drsolar,dun-modr,66
0,Ràyzèr,antonidas,66
4,Gahälan,archimonde,66
1,Панзеро,howling-fjord,66
0,Norlum,tyrande,66
2,Zaiiko,hyjal,66
2,Дедизлеса,gordunni,66
4,Liquidamber,area-52,66
2,Nifen,chants-éternels,66
1,Artiàn,kazzak,66
3,Archángel,alleria,66
1,Azztech,ravencrest,66
2,Джунами,galakrond,66
4,Арианте,gordunni,66
4,Teriba,kelthuzad,66
3,Kalwyn,archimonde,66
2,Krupa,ragnaros,66
1,Xtetsuo,suramar,66
1,Vusten,outland,66
0,Geheimn,nagrand,66
3,Grézossé,arakarahm,66
4,Kalaach,medivh,66
4,Тенеломыч,howling-fjord,66
4,Deollyn,medivh,66
4,Narutosensei,uldaman,66
3,Свитзер,gordunni,66
3,Kelyhana,pozzo-delleternità,66
1,Saïya,illidan,66
1,Andijvie,chamber-of-aspects,66
4,Shãnã,dalaran,66
1,Paleitor,exodar,66
0,Parapala,runetotem,66
4,Добрыекиски,soulflayer,66
2,Tomhardy,wildhammer,66
0,Paladuenn,dun-morogh,66
1,Alexandar,sanguino,66
0,Almëana,voljin,66
4,Алльбиорикс,howling-fjord,66
2,Yalayutbeyb,twisting-nether,66
1,Notjcdlz,ysondre,66
0,Fàlk,antonidas,66
3,Hyath,blackrock,66
3,Padogorek,silvermoon,66
4,Lehtisalo,draenor,66
4,Crazywings,blackhand,66
0,Talaessa,pozzo-delleternità,66
3,Regank,ravencrest,66
4,Фанкир,gordunni,66
1,Dpspaladin,kazzak,66
1,Zui,pozzo-delleternità,66
3,Gunsarc,dun-modr,66
0,Gorben,moonglade,66
3,Herky,hyjal,66
0,Naville,arakarahm,66
0,Oink,antonidas,66
4,Ashtart,silvermoon,66
3,Igab,blackmoore,66
0,Lyssmidd,aegwynn,66
1,Phynes,hyjal,66
0,Aeth,argent-dawn,66
0,Athríl,tarren-mill,66
2,Dorkgul,nemesis,66
4,Mythaniel,hyjal,66
2,Vanadiis,doomhammer,66
1,Toro,archimonde,66
1,Фароза,gordunni,66
3,Вильми,eversong,66
2,Бодрыйклоп,gordunni,66
4,Mäciah,burning-legion,66
0,Cnm,twisting-nether,66
1,Julzpala,blackrock,66
2,Luísio,cthun,66
4,Chiesi,nemesis,66
1,Lightforge,bloodfeather,66
1,Stélight,hyjal,66
2,Laethir,shadowsong,66
1,Kímmimarú,sylvanas,66
1,Arathonn,turalyon,66
2,Hiera,earthen-ring,66
0,Thörgrim,outland,66
4,Palacinka,wildhammer,66
4,Ошшино,gordunni,66
0,Ehrendil,hellfire,66
0,Jermuk,alakir,66
3,Portoz,rashgarroth,66
0,Netrosa,alleria,66
0,Xmorty,ravencrest,66
3,Ohanbe,ghostlands,66
3,Câbêrt,ysondre,66
4,Бобишмурда,gordunni,66
2,Fulmines,nemesis,66
3,Sacrer,outland,66
2,Hahto,blackhand,66
3,Vehlyr,kaelthas,66
3,Lowless,kazzak,66
0,Méynum,frostwolf,66
1,Толатос,soulflayer,66
1,Auchenaya,das-syndikat,66
2,Gordonblue,kelthuzad,66
0,Sadeye,draenor,66
