0,1,2,3,4,5,character.id,6,7
Pelagos,Combat Meditation,Focusing Mantra,Cleansed Vestments,Ringing Clarity,Resolute Defender,81688057,Punish the Guilty,Shielding Words
Pelagos,Combat Meditation,Road of Trials,Bond of Friendship,Shielding Words,Divine Call,194770582,Vengeful Shock,Resolute Defender
Pelagos,Combat Meditation,Road of Trials,Cleansed Vestments,Royal Decree,Resolute Defender,176644890,Vengeful Shock,Golden Path
Pelagos,Combat Meditation,Focusing Mantra,Cleansed Vestments,Ringing Clarity,Resolute Defender,209211183,Punish the Guilty,
Pelagos,Combat Meditation,Focusing Mantra,Cleansed Vestments,Ringing Clarity,Royal Decree,139158862,Punish the Guilty,
Pelagos,Combat Meditation,Focusing Mantra,Bond of Friendship,Ringing Clarity,Golden Path,169607486,Vengeful Shock,
Pelagos,Combat Meditation,Focusing Mantra,Cleansed Vestments,Ringing Clarity,Resolute Defender,176995816,Punish the Guilty,
Nadjia the Mistblade,Thrill Seeker,Fancy Footwork,Friends in Low Places,Resolute Defender,Echoing Blessings,193347475,Shielding Words,
Pelagos,Combat Meditation,Focusing Mantra,Bond of Friendship,Ringing Clarity,Resolute Defender,167538332,Punish the Guilty,Light's Barding
Pelagos,Combat Meditation,Focusing Mantra,Cleansed Vestments,Ringing Clarity,Resolute Defender,197674303,Punish the Guilty,Shielding Words
Pelagos,Combat Meditation,Focusing Mantra,Cleansed Vestments,Ringing Clarity,Resolute Defender,242855357,Punish the Guilty,
Pelagos,Combat Meditation,Road of Trials,Cleansed Vestments,Shielding Words,Golden Path,184298291,Ringing Clarity,
Pelagos,Combat Meditation,Focusing Mantra,Cleansed Vestments,Ringing Clarity,Resolute Defender,175798760,Punish the Guilty,Shielding Words
Pelagos,Combat Meditation,Road of Trials,Bond of Friendship,Shielding Words,Resolute Defender,156352303,Vengeful Shock,
Pelagos,Combat Meditation,Focusing Mantra,Bond of Friendship,Vengeful Shock,Resolute Defender,176258513,Ringing Clarity,Divine Call
Pelagos,Combat Meditation,Focusing Mantra,Cleansed Vestments,Virtuous Command,Divine Call,161493499,Ringing Clarity,Echoing Blessings
Pelagos,Combat Meditation,Road of Trials,Cleansed Vestments,Golden Path,Resolute Defender,95484374,Vengeful Shock,Shielding Words
Pelagos,Combat Meditation,Focusing Mantra,Cleansed Vestments,Ringing Clarity,Shielding Words,93535917,Vengeful Shock,Light's Barding
Pelagos,Combat Meditation,Focusing Mantra,Cleansed Vestments,Ringing Clarity,Shielding Words,165159780,Punish the Guilty,Resolute Defender
Pelagos,Combat Meditation,Focusing Mantra,Bond of Friendship,Ringing Clarity,Shielding Words,200728727,Vengeful Shock,Light's Barding
Pelagos,Combat Meditation,Focusing Mantra,Cleansed Vestments,Punish the Guilty,Resolute Defender,113713921,Vengeful Shock,
Pelagos,Combat Meditation,Focusing Mantra,Cleansed Vestments,Ringing Clarity,Shielding Words,161204362,Vengeful Shock,
Pelagos,Combat Meditation,Road of Trials,Cleansed Vestments,Resolute Defender,Shielding Words,202192068,Vengeful Shock,Royal Decree
Pelagos,Combat Meditation,Focusing Mantra,Cleansed Vestments,Ringing Clarity,Resolute Defender,161878425,Vengeful Shock,Light's Barding
Pelagos,Combat Meditation,Focusing Mantra,Cleansed Vestments,Ringing Clarity,Resolute Defender,188302871,Vengeful Shock,Golden Path
Pelagos,Combat Meditation,Road of Trials,Cleansed Vestments,Shielding Words,Resolute Defender,119153292,Vengeful Shock,Golden Path
Pelagos,Combat Meditation,Focusing Mantra,Cleansed Vestments,Ringing Clarity,Resolute Defender,245261828,Vengeful Shock,Light's Barding
Pelagos,Combat Meditation,Focusing Mantra,Cleansed Vestments,Ringing Clarity,Shielding Words,175253993,,
Pelagos,Combat Meditation,Focusing Mantra,Bond of Friendship,Punish the Guilty,Resolute Defender,201828137,Ringing Clarity,Golden Path
Pelagos,Combat Meditation,Road of Trials,Bond of Friendship,Shielding Words,Resolute Defender,164840523,Vengeful Shock,Golden Path
Pelagos,Combat Meditation,Focusing Mantra,Cleansed Vestments,Ringing Clarity,Shielding Words,71683235,Punish the Guilty,Light's Barding
Pelagos,Combat Meditation,Focusing Mantra,Cleansed Vestments,Punish the Guilty,Shielding Words,136350618,Ringing Clarity,Light's Barding
Pelagos,Combat Meditation,Focusing Mantra,Cleansed Vestments,Ringing Clarity,Shielding Words,164602514,Punish the Guilty,Resolute Defender
Pelagos,Combat Meditation,Focusing Mantra,Cleansed Vestments,Punish the Guilty,Resolute Defender,247631101,Ringing Clarity,Light's Barding
Pelagos,Combat Meditation,Road of Trials,Cleansed Vestments,Shielding Words,Resolute Defender,180657290,Punish the Guilty,Golden Path
Pelagos,Combat Meditation,Focusing Mantra,Cleansed Vestments,Punish the Guilty,Resolute Defender,154753456,Vengeful Shock,Shielding Words
Pelagos,Combat Meditation,Road of Trials,Cleansed Vestments,Resolute Defender,Shielding Words,195398094,Ringing Clarity,Golden Path
Pelagos,Combat Meditation,Focusing Mantra,Cleansed Vestments,Punish the Guilty,Shielding Words,76714138,Ringing Clarity,Light's Barding
Pelagos,Combat Meditation,Road of Trials,Cleansed Vestments,Shielding Words,Royal Decree,190326717,,
Pelagos,Combat Meditation,Focusing Mantra,Bond of Friendship,Vengeful Shock,Golden Path,172770813,,
Pelagos,Combat Meditation,Focusing Mantra,Cleansed Vestments,Vengeful Shock,Resolute Defender,156103505,Ringing Clarity,
Pelagos,Combat Meditation,Focusing Mantra,Cleansed Vestments,Ringing Clarity,Shielding Words,141445649,Vengeful Shock,Golden Path
Niya,Grove Invigoration,Stay on the Move,Nature's Splendor,Resolute Defender,Light's Barding,246978378,Royal Decree,Shielding Words
Pelagos,Combat Meditation,Road of Trials,Cleansed Vestments,Golden Path,Resolute Defender,38372178,Vengeful Shock,Shielding Words
Pelagos,Combat Meditation,Focusing Mantra,Cleansed Vestments,Vengeful Shock,Resolute Defender,195375648,Ringing Clarity,Light's Barding
Pelagos,Combat Meditation,Road of Trials,Bond of Friendship,Shielding Words,Resolute Defender,123066735,Vengeful Shock,Royal Decree
Pelagos,Combat Meditation,Road of Trials,Cleansed Vestments,Resolute Defender,Shielding Words,79852548,Templar's Vindication,Golden Path
Pelagos,Combat Meditation,Focusing Mantra,Cleansed Vestments,Ringing Clarity,Shielding Words,158661428,Punish the Guilty,
Pelagos,Combat Meditation,Focusing Mantra,Cleansed Vestments,Punish the Guilty,Resolute Defender,158829913,Ringing Clarity,Shielding Words
Pelagos,Combat Meditation,Road of Trials,Cleansed Vestments,Shielding Words,Resolute Defender,202886880,Vengeful Shock,
Pelagos,Combat Meditation,Road of Trials,Cleansed Vestments,Resolute Defender,Shielding Words,245828891,Ringing Clarity,Royal Decree
Pelagos,Combat Meditation,Road of Trials,Bond of Friendship,Golden Path,Shielding Words,170304573,Ringing Clarity,Resolute Defender
Pelagos,Combat Meditation,Road of Trials,Bond of Friendship,Resolute Defender,Royal Decree,226355394,Vengeful Shock,
Pelagos,Combat Meditation,Focusing Mantra,Cleansed Vestments,Ringing Clarity,Royal Decree,83232907,Punish the Guilty,Shielding Words
Pelagos,Combat Meditation,Focusing Mantra,Cleansed Vestments,Ringing Clarity,Shielding Words,130967872,Vengeful Shock,Golden Path
Pelagos,Combat Meditation,Focusing Mantra,Cleansed Vestments,Punish the Guilty,Resolute Defender,193922696,Ringing Clarity,Golden Path
Pelagos,Combat Meditation,Focusing Mantra,Cleansed Vestments,Ringing Clarity,Resolute Defender,175494525,Vengeful Shock,Shielding Words
Pelagos,Combat Meditation,Focusing Mantra,Bond of Friendship,Punish the Guilty,Shielding Words,199661360,Ringing Clarity,
Pelagos,Combat Meditation,Focusing Mantra,Bond of Friendship,Ringing Clarity,Shielding Words,133598143,,
Pelagos,Combat Meditation,Road of Trials,Cleansed Vestments,Shielding Words,Resolute Defender,191931367,Ringing Clarity,Light's Barding
General Draven,Service In Stone,Enduring Gloom,Unbreakable Body,Light's Barding,Punish the Guilty,65048708,Shielding Words,
Pelagos,Combat Meditation,Focusing Mantra,Bond of Friendship,Vengeful Shock,Shielding Words,239021495,Punish the Guilty,
Pelagos,Combat Meditation,Focusing Mantra,Bond of Friendship,Punish the Guilty,Resolute Defender,240405568,,
Pelagos,Combat Meditation,Focusing Mantra,Cleansed Vestments,Punish the Guilty,Resolute Defender,240221435,Ringing Clarity,Golden Path
Pelagos,Combat Meditation,Focusing Mantra,Cleansed Vestments,Ringing Clarity,Golden Path,177028711,Vengeful Shock,Resolute Defender
Pelagos,Combat Meditation,Focusing Mantra,Cleansed Vestments,Ringing Clarity,Resolute Defender,172719113,Vengeful Shock,Golden Path
Pelagos,Combat Meditation,Focusing Mantra,Bond of Friendship,Ringing Clarity,Resolute Defender,181946047,Punish the Guilty,Golden Path
Niya,Grove Invigoration,Stay on the Move,Nature's Splendor,Golden Path,Light's Barding,175996733,Shielding Words,
Pelagos,Combat Meditation,Road of Trials,Cleansed Vestments,Resolute Defender,Shielding Words,150850433,Ringing Clarity,Light's Barding
Pelagos,Combat Meditation,Road of Trials,Cleansed Vestments,Resolute Defender,Shielding Words,16524690,Ringing Clarity,
Pelagos,Combat Meditation,Road of Trials,Cleansed Vestments,Golden Path,Resolute Defender,167125196,Punish the Guilty,
Pelagos,Combat Meditation,Road of Trials,Cleansed Vestments,Resolute Defender,Shielding Words,147578997,Ringing Clarity,
Pelagos,Combat Meditation,Road of Trials,Cleansed Vestments,Golden Path,Shielding Words,92465684,Ringing Clarity,Resolute Defender
Pelagos,Combat Meditation,Road of Trials,Cleansed Vestments,Shielding Words,Resolute Defender,201753295,Vengeful Shock,
Pelagos,Combat Meditation,Road of Trials,Cleansed Vestments,Resolute Defender,Shielding Words,154405274,Punish the Guilty,
Pelagos,Combat Meditation,Focusing Mantra,Bond of Friendship,Punish the Guilty,Resolute Defender,157746377,Ringing Clarity,
General Draven,Service In Stone,Move As One,Unbreakable Body,Shielding Words,Hallowed Discernment,106639733,Resolute Defender,
Pelagos,Combat Meditation,Focusing Mantra,Bond of Friendship,Ringing Clarity,Resolute Defender,159590330,Punish the Guilty,
Pelagos,Combat Meditation,Focusing Mantra,Cleansed Vestments,Ringing Clarity,Shielding Words,156387163,,
Niya,Grove Invigoration,Run Without Tiring,Swift Patrol,Punish the Guilty,Light's Barding,120019768,Shielding Words,The Long Summer
Pelagos,Combat Meditation,Road of Trials,Cleansed Vestments,Golden Path,Resolute Defender,110076509,Vengeful Shock,Shielding Words
Pelagos,Combat Meditation,Road of Trials,Cleansed Vestments,Resolute Defender,Shielding Words,160300425,Vengeful Shock,Golden Path
Pelagos,Combat Meditation,Focusing Mantra,Cleansed Vestments,Templar's Vindication,Shielding Words,193993366,Ringing Clarity,
Pelagos,Combat Meditation,Focusing Mantra,Cleansed Vestments,Punish the Guilty,Shielding Words,119812186,Ringing Clarity,
Pelagos,Combat Meditation,Focusing Mantra,Cleansed Vestments,Ringing Clarity,Shielding Words,26622189,Vengeful Shock,Resolute Defender
Pelagos,Combat Meditation,Focusing Mantra,Cleansed Vestments,Ringing Clarity,Resolute Defender,197422506,Punish the Guilty,Golden Path
Pelagos,Combat Meditation,Focusing Mantra,Cleansed Vestments,Punish the Guilty,Shielding Words,139112608,Ringing Clarity,Resolute Defender
Pelagos,Combat Meditation,Focusing Mantra,Bond of Friendship,Punish the Guilty,Resolute Defender,153778146,,
Pelagos,Combat Meditation,Road of Trials,Bond of Friendship,Resolute Defender,Shielding Words,195514678,Vengeful Shock,Divine Call
Pelagos,Combat Meditation,Road of Trials,Cleansed Vestments,Shielding Words,Royal Decree,104987278,,
Pelagos,Combat Meditation,Focusing Mantra,Bond of Friendship,Ringing Clarity,Golden Path,197216684,Punish the Guilty,Shielding Words
Pelagos,Combat Meditation,Focusing Mantra,Cleansed Vestments,Punish the Guilty,Resolute Defender,123685290,,
Pelagos,Combat Meditation,Road of Trials,Cleansed Vestments,Shielding Words,Golden Path,177305449,Punish the Guilty,Resolute Defender
Pelagos,Combat Meditation,Focusing Mantra,Cleansed Vestments,Punish the Guilty,Resolute Defender,173827844,Ringing Clarity,Light's Barding
Pelagos,Combat Meditation,Focusing Mantra,Cleansed Vestments,Ringing Clarity,Resolute Defender,161714669,Punish the Guilty,Light's Barding
Pelagos,Combat Meditation,Focusing Mantra,Cleansed Vestments,Ringing Clarity,Resolute Defender,169094090,Punish the Guilty,Shielding Words
Pelagos,Combat Meditation,Phial of Patience,Cleansed Vestments,Light's Barding,Resolute Defender,170361972,Ringing Clarity,Golden Path
Pelagos,Combat Meditation,Road of Trials,Cleansed Vestments,Golden Path,Shielding Words,56774862,Ringing Clarity,Royal Decree
Pelagos,Combat Meditation,Road of Trials,Cleansed Vestments,Royal Decree,Resolute Defender,90833227,Ringing Clarity,Divine Call
Pelagos,Combat Meditation,Focusing Mantra,Cleansed Vestments,Ringing Clarity,Golden Path,105894907,Virtuous Command,Resolute Defender
Pelagos,Combat Meditation,Road of Trials,Cleansed Vestments,Resolute Defender,Shielding Words,59088983,Vengeful Shock,Golden Path
Pelagos,Combat Meditation,Focusing Mantra,Cleansed Vestments,Ringing Clarity,Shielding Words,158076754,Vengeful Shock,
Pelagos,Combat Meditation,Focusing Mantra,Bond of Friendship,Ringing Clarity,Resolute Defender,225939240,Punish the Guilty,Light's Barding
Pelagos,Combat Meditation,Focusing Mantra,Bond of Friendship,Ringing Clarity,Resolute Defender,243494891,Vengeful Shock,Shielding Words
Pelagos,Combat Meditation,Road of Trials,Bond of Friendship,Shielding Words,Resolute Defender,192445921,Ringing Clarity,Royal Decree
Pelagos,Combat Meditation,Focusing Mantra,Bond of Friendship,Punish the Guilty,Golden Path,133020133,Ringing Clarity,Resolute Defender
General Draven,Service In Stone,Enduring Gloom,Unbreakable Body,Light's Barding,Hallowed Discernment,169726299,Shielding Words,
Pelagos,Combat Meditation,Focusing Mantra,Cleansed Vestments,Ringing Clarity,Resolute Defender,128412996,Vengeful Shock,
Pelagos,Combat Meditation,Road of Trials,Bond of Friendship,Resolute Defender,Shielding Words,162309211,Ringing Clarity,Light's Barding
